dataset_id,method,budget,dataset_seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,0,128,128,member_l2_mean,0.5862022638320923,0.586467981338501,0.5862022638320923,0.586467981338501,0.5862657427787781,0.5863265991210938,0.5862386226654053,0.586467981338501,,0.23635609447956085,0.48616467835452715,,4,,,,,,,,,,,,4.324328422546387,4.660069942474365,0.5863265991210938,0.5364995002746582,7.01430557097774,0.002184987999498844,0.0,11.366708033019677,0.3940971829579212,0.07507381297182292,19.113956439949106
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,1,256,128,member_l2_mean,0.7108587026596069,0.7115548253059387,0.7108587026596069,0.7115548253059387,0.7112175822257996,0.7114265561103821,0.7113684415817261,0.7115548253059387,,0.26716336607933044,0.5168784828945102,,4,,,,,,,,,,,,5.138296604156494,5.313107490539551,0.7114265561103821,0.9522847533226013,9.164029060048051,0.0021540450397878885,0.0,10.913031369971577,0.2811201619915664,0.06624311598716304,20.68724809901323
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,2,384,128,member_l2_mean,13.129353523254395,17.700611114501953,13.129353523254395,17.700611114501953,17.65270233154297,17.684711456298828,17.65694236755371,17.700611114501953,,0.19597308337688446,0.44268847215269164,,4,,,,,,,,,,,,37.856666564941406,38.67295837402344,17.684711456298828,0.9914909601211548,13.762030083977152,0.0023202659795060754,0.0,11.099337490973994,0.319928813027218,0.0631474659894593,25.511603647028096
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,3,512,128,member_l2_mean,17.22596549987793,27.21062660217285,17.22596549987793,27.21062660217285,24.991405487060547,26.00367546081543,24.588001251220703,27.21062660217285,,0.1629071682691574,0.40361760153536097,,4,,,,,,,,,,,,23.024784088134766,23.572969436645508,26.00367546081543,0.8816924691200256,18.320590339018963,0.0020178340491838753,0.0,11.124278053990565,0.32239059603307396,0.06808589899446815,30.101466781983618
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,4,640,128,member_l2_mean,16.678354263305664,25.98675537109375,16.678354263305664,25.98675537109375,21.73745346069336,23.382205963134766,21.639041900634766,25.98675537109375,,0.023550063371658325,0.15346029900810934,,3,,,,,,,,,,,,17.78649139404297,18.15612030029297,23.382205963134766,0.760837733745575,23.018312329018954,0.001730057003442198,0.0,11.06366564403288,0.2961264749756083,0.06625405896920711,34.70943524403265
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,5,768,128,member_l2_mean,24.530723571777344,41.101417541503906,24.530723571777344,41.101417541503906,29.437145233154297,33.369102478027344,27.492198944091797,41.101417541503906,,0.06582730263471603,0.25656831962406434,,3,,,,,,,,,,,,24.17947006225586,24.496566772460938,33.369102478027344,0.7050654888153076,27.822637252975255,0.001917588000651449,0.0,11.19251554098446,0.3147827810025774,0.06874981598230079,39.66547837201506
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,6,896,128,member_l2_mean,10.485986709594727,27.17433738708496,10.485986709594727,27.17433738708496,16.465185165405273,18.914730072021484,10.965291976928711,27.17433738708496,,0.008768219500780106,0.0936387713544988,,3,,,,,,,,,,,,28.871196746826172,29.126590728759766,18.914730072021484,0.6029253005981445,32.2718976449687,0.0020580620039254427,0.0,11.277976337994915,0.31104871700517833,0.06666635995497927,44.263909322966356
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,7,1024,128,member_l2_mean,24.38722038269043,45.88442611694336,24.38722038269043,45.88442611694336,30.11668586730957,36.543678283691406,25.958984375,45.88442611694336,,0.1020529493689537,0.31945727315081385,,3,,,,,,,,,,,,12.316761016845703,12.637252807617188,36.543678283691406,0.6617693305015564,37.42431395902531,0.0021281149820424616,0.0,11.31047063198639,0.31336569000268355,0.0684225739678368,49.38586998300161
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,8,1152,128,member_l2_mean,3.1973743438720703,6.064635753631592,3.1973743438720703,6.064635753631592,4.2438154220581055,5.267052173614502,4.212210178375244,6.064635753631592,,0.0028018122538924217,0.0529321476410359,,3,,,,,,,,,,,,14.217663764953613,14.412114143371582,5.267052173614502,0.797978401184082,41.42981143196812,0.002048208029009402,0.0,11.450214579002932,0.2790168880019337,0.07479018898447976,53.53973763802787
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,9,1280,128,member_l2_mean,2.1411614418029785,4.537746906280518,2.1411614418029785,4.537746906280518,2.9362986087799072,3.7520241737365723,2.6335678100585938,4.537746906280518,,0.0010860324837267399,0.03295500695989518,,3,,,,,,,,,,,,8.189873695373535,8.446503639221191,3.7520241737365723,0.7267962098121643,46.069467930996325,0.00207766197854653,0.0,11.40098522300832,0.32340734102763236,0.06856440397677943,58.23235339298844
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,10,1408,128,member_l2_mean,2.5864267349243164,5.180586814880371,2.5864267349243164,5.180586814880371,3.3655636310577393,3.82604718208313,2.9184701442718506,5.180586814880371,,0.0005848165019415319,0.024182979591885114,,3,,,,,,,,,,,,7.841303825378418,8.094590187072754,3.82604718208313,0.6450220346450806,50.757923537981696,0.00209503504447639,0.0,11.584914365957957,0.29482135199941695,0.07455579802626744,62.98189168499084
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,11,1536,128,member_l2_mean,1.975737452507019,3.6432480812072754,1.975737452507019,3.6432480812072754,2.5617079734802246,2.8285470008850098,1.7025506496429443,3.6432480812072754,,0.0005037250812165439,0.022443820557484055,,4,,,,,,,,,,,,6.393592834472656,6.567290306091309,2.8285470008850098,0.6431173086166382,56.05185477400664,0.0020256309653632343,0.0,11.552231640962418,0.3194016579654999,0.07451799797127023,68.28062710200902
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,12,1664,128,member_l2_mean,1.5076481103897095,2.1933493614196777,1.5076481103897095,2.1933493614196777,1.694105863571167,1.8065768480300903,1.286791205406189,2.1933493614196777,,0.0002789580321405083,0.016702036766230288,,4,,,,,,,,,,,,4.397183418273926,4.530560493469238,1.8065768480300903,0.6393511295318604,60.365646285004914,0.0021115890122018754,0.0,11.677110866003204,0.29088519903598353,0.0657264810288325,72.68284814199433
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,13,1792,128,member_l2_mean,1.3202338218688965,2.0387184619903564,1.3202338218688965,2.0387184619903564,1.5584691762924194,1.6623377799987793,1.2006393671035767,2.0387184619903564,,0.00016307875921484083,0.012770229411206395,,4,,,,,,,,,,,,4.196996212005615,4.334690570831299,1.6623377799987793,0.591744065284729,64.6640694840462,0.0019951220019720495,0.0,11.655431495979428,0.30774843302788213,0.06827722099842504,76.9808602220146
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,14,1920,128,member_l2_mean,0.9759828448295593,1.5747082233428955,0.9759828448295593,1.5747082233428955,1.1343202590942383,1.262204885482788,0.967696487903595,1.5747082233428955,,0.00015946148778311908,0.012627806134999028,,4,,,,,,,,,,,,4.162289619445801,4.304080486297607,1.262204885482788,0.6474595069885254,69.73061118001351,0.00210731104016304,0.0,11.782351298024878,0.3168462520116009,0.07494306098669767,82.19267696002498
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,15,2048,128,member_l2_mean,1.0735273361206055,1.7040430307388306,1.0735273361206055,1.7040430307388306,1.2870264053344727,1.421651840209961,1.0958335399627686,1.7040430307388306,,0.00011471347534097731,0.010710437682045366,,4,,,,,,,,,,,,3.7670600414276123,3.8852787017822266,1.421651840209961,0.6534860730171204,73.94590167701244,0.0020971139892935753,0.0,11.765261316963006,0.3030790510238148,0.07364239997696131,86.4115291039925
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,16,2176,128,member_l2_mean,1.0221259593963623,1.4933366775512695,1.0221259593963623,1.4933366775512695,1.2343964576721191,1.3069226741790771,0.9825910329818726,1.4933366775512695,,0.0001118261570809409,0.010574788748761882,,4,,,,,,,,,,,,3.7370548248291016,3.847886085510254,1.3069226741790771,0.6952143907546997,78.50806980498601,0.0019474949804134667,0.0,11.930459674040321,0.3043742490117438,0.07321999897249043,91.10488031903515
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,17,2304,128,member_l2_mean,1.34136164188385,2.593473434448242,1.34136164188385,2.593473434448242,1.6229181289672852,1.8976495265960693,1.3734463453292847,2.593473434448242,,0.00015268873539753258,0.012356728345218754,,4,,,,,,,,,,,,3.863917827606201,3.9903526306152344,1.8976495265960693,0.652604341506958,82.9172413930064,0.0021235489984974265,0.0,11.89113967801677,0.2978373320074752,0.07234592898748815,95.4699933679658
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,18,2432,128,member_l2_mean,1.1872586011886597,1.6950165033340454,1.1872586011886597,1.6950165033340454,1.36878502368927,1.4652389287948608,1.2290163040161133,1.6950165033340454,,9.95867230813019e-05,0.009979314760107624,,4,,,,,,,,,,,,3.8790640830993652,3.992046594619751,1.4652389287948608,0.7447341084480286,87.86909546895185,0.0021096529671922326,0.0,12.197646029992029,0.2838500569923781,0.07155787997180596,100.7154570199782
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,19,2560,128,member_l2_mean,0.8460211157798767,1.3883357048034668,0.8460211157798767,1.3883357048034668,1.01036536693573,1.1522486209869385,0.9168044328689575,1.3883357048034668,,8.343298395629972e-05,0.009134165750428427,,4,,,,,,,,,,,,3.86344051361084,4.043632507324219,1.1522486209869385,0.7357978820800781,92.35718903399538,0.001988595991861075,0.0,11.974712041963357,0.30135557398898527,0.07129846204770729,105.00068411900429
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,20,2688,128,member_l2_mean,0.8546505570411682,1.2970199584960938,0.8546505570411682,1.2970199584960938,1.004108190536499,1.0699759721755981,0.858555018901825,1.2970199584960938,,0.00011167346383444965,0.010567566599480206,,4,,,,,,,,,,,,3.7790379524230957,3.9152207374572754,1.0699759721755981,0.7134524583816528,96.92406780895544,0.0020603289594873786,0.0,12.173956204031128,0.2932322199922055,0.07134483003756031,109.75835089705652
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,21,2816,128,member_l2_mean,0.8431916236877441,1.4303350448608398,0.8431916236877441,1.4303350448608398,1.0385433435440063,1.2049390077590942,1.0206692218780518,1.4303350448608398,,7.711224316153675e-05,0.008781357706046187,,4,,,,,,,,,,,,4.082705020904541,4.211480140686035,1.2049390077590942,0.7614691257476807,102.19394031900447,0.0021127419895492494,0.0,12.241651138989255,0.2968560929875821,0.06981787399854511,115.10024215898011
qbc_marker_hybrid_b4096_s01,qbc_marker_hybrid,b4096,s01,22,2944,128,member_l2_mean,0.5945072770118713,0.9692613482475281,0.5945072770118713,0.9692613482475281,0.683849573135376,0.7670469284057617,0.6394471526145935,0.9692613482475281,,9.626539394957945e-05,0.009811492952124027,,4,,,,,,,,,,,,3.8376951217651367,3.9552409648895264,0.7670469284057617,0.6596320867538452,106.44194702303503,0.0023106649750843644,0.0,12.411050434981007,0.3477980130119249,0.06987482198746875,119.63802551000845
