analysis_key,best_id_eval_mse_mean,best_id_eval_mse_sem,best_id_eval_rmse_mean,best_id_eval_rmse_sem,best_id_eval_mae_mean,best_id_eval_mae_sem,best_id_eval_max_abs_error_mean,best_id_eval_max_abs_error_sem,best_id_eval_trajectory_mse_mean_mean,best_id_eval_trajectory_mse_mean_sem,best_id_eval_trajectory_mse_p90_mean,best_id_eval_trajectory_mse_p90_sem,best_id_eval_trajectory_mse_p95_mean,best_id_eval_trajectory_mse_p95_sem,best_id_eval_trajectory_mse_max_mean,best_id_eval_trajectory_mse_max_sem,best_id_eval_trajectory_rmse_mean_mean,best_id_eval_trajectory_rmse_mean_sem,best_id_eval_trajectory_rmse_p90_mean,best_id_eval_trajectory_rmse_p90_sem,best_id_eval_trajectory_rmse_p95_mean,best_id_eval_trajectory_rmse_p95_sem,best_id_eval_trajectory_rmse_max_mean,best_id_eval_trajectory_rmse_max_sem,best_id_eval_trajectory_max_abs_error_mean_mean,best_id_eval_trajectory_max_abs_error_mean_sem,best_id_eval_trajectory_max_abs_error_p95_mean,best_id_eval_trajectory_max_abs_error_p95_sem,best_id_eval_trajectory_max_abs_error_max_mean,best_id_eval_trajectory_max_abs_error_max_sem,best_id_eval_n_rows_mean,best_id_eval_n_rows_sem,best_id_eval_n_trajectories_mean,best_id_eval_n_trajectories_sem,best_ood_eval_mse_mean,best_ood_eval_mse_sem,best_ood_eval_rmse_mean,best_ood_eval_rmse_sem,best_ood_eval_mae_mean,best_ood_eval_mae_sem,best_ood_eval_max_abs_error_mean,best_ood_eval_max_abs_error_sem,best_ood_eval_trajectory_mse_mean_mean,best_ood_eval_trajectory_mse_mean_sem,best_ood_eval_trajectory_mse_p90_mean,best_ood_eval_trajectory_mse_p90_sem,best_ood_eval_trajectory_mse_p95_mean,best_ood_eval_trajectory_mse_p95_sem,best_ood_eval_trajectory_mse_max_mean,best_ood_eval_trajectory_mse_max_sem,best_ood_eval_trajectory_rmse_mean_mean,best_ood_eval_trajectory_rmse_mean_sem,best_ood_eval_trajectory_rmse_p90_mean,best_ood_eval_trajectory_rmse_p90_sem,best_ood_eval_trajectory_rmse_p95_mean,best_ood_eval_trajectory_rmse_p95_sem,best_ood_eval_trajectory_rmse_max_mean,best_ood_eval_trajectory_rmse_max_sem,best_ood_eval_trajectory_max_abs_error_mean_mean,best_ood_eval_trajectory_max_abs_error_mean_sem,best_ood_eval_trajectory_max_abs_error_p95_mean,best_ood_eval_trajectory_max_abs_error_p95_sem,best_ood_eval_trajectory_max_abs_error_max_mean,best_ood_eval_trajectory_max_abs_error_max_sem,best_ood_eval_n_rows_before_filter_mean,best_ood_eval_n_rows_before_filter_sem,best_ood_eval_n_trajectories_before_filter_mean,best_ood_eval_n_trajectories_before_filter_sem,best_ood_eval_n_rows_mean,best_ood_eval_n_rows_sem,best_ood_eval_n_trajectories_mean,best_ood_eval_n_trajectories_sem,final_test_mse_mean,final_test_mse_sem,total_seconds_mean,total_seconds_sem,training_seconds_mean,training_seconds_sem,seeds,n_runs
adam_no_scheduler,3.127561752273429e-06,3.3121548662559917e-07,0.001763396319027431,9.485561215324979e-05,0.0010837255881414956,7.351653426113341e-05,0.02636975989789575,0.0008456947395054219,3.1275617522734287e-06,3.3121548662559927e-07,6.286223424784258e-06,5.324298574117797e-07,8.096588307546701e-06,8.26109973801218e-07,3.359140528261497e-05,5.444998013620503e-06,0.0016290611961433585,9.104541620095795e-05,0.0025025140177244204,0.00010872426449497225,0.0028375207338593982,0.00014938527832392953,0.005753517577632983,0.0004941865874764566,0.007224332389822956,0.00021439255621480207,0.0150366739102517,0.00039848586028400253,0.022348872524510732,0.004221808090499609,409409.0,0.0,409.0,0.0,0.027599871034180514,0.000429755201810598,0.16612204631092767,0.0012916585559880317,0.05195160708594957,0.00029315331799424367,1.473741160912972,0.03083494496326667,0.027599871034180514,0.0004297552018105973,0.09661243915900734,0.0017375611346283626,0.17659761875782995,0.0038646143677316578,0.5157091132598223,0.006535646934055287,0.0800530077014746,0.0004056008448386307,0.31079540474044287,0.002805313106142649,0.4201562289859649,0.004602760995011245,0.7181000453510049,0.004551819784825388,0.18966592686347164,0.003020680128100008,0.837589443201937,0.012470176551660075,1.2080059492900805,0.0560150420084128,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,6.07396241661165e-06,8.770766289985379e-07,7195.914991979332,99.82992128232482,7188.014518475665,100.39112048919954,"s01,s02,s03",3
lbfgs,2.9386276109962858e-06,4.888691357320501e-07,0.0017029663606450186,0.00013880415250947187,0.0010236981145592314,9.178915308720486e-05,0.02850112803407201,0.0029090272714575554,2.938627610996286e-06,4.8886913573205e-07,5.476560163327857e-06,7.675131918570721e-07,8.308185931332197e-06,1.5357798748941615e-06,4.280466753131217e-05,1.2122484401714295e-05,0.0015545907224724664,0.0001393494666797923,0.002329323166776623,0.00015932652181336143,0.002859007360582919,0.00025907958132964225,0.00641009132093303,0.0009261200755331917,0.008040034384340453,0.0006595034860930886,0.016908410908507483,0.0020547270298728725,0.023322748389251007,0.005548415965015807,409409.0,0.0,409.0,0.0,0.002931433420653414,0.00014534271901646818,0.054109781486974186,0.001335097016197563,0.014331529017015433,0.0003109906474472572,1.0261678724697736,0.05155551693691328,0.002931433420653414,0.00014534271901646802,0.004320331699520493,0.00031837581199601294,0.014237972655954756,0.0015530265823476303,0.14928560015545556,0.002824524338577175,0.02226299383930869,0.0007222314676187379,0.06560845695982172,0.002455759140792273,0.11892375150569175,0.006635835962636512,0.38634049555577504,0.003648400277774985,0.06881599820405031,0.002504236302621269,0.31309494265538956,0.00844478548028874,1.0261678724697736,0.05155551693691328,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,4.565486446662685e-06,7.126658641978082e-07,942.421637341613,20.519186785980928,938.1544147506356,20.476486685968297,"s01,s02,s03",3
bfgs,1.2742508534945825e-07,4.748280097263269e-09,0.00035684388257220247,6.61546749120545e-06,0.00020574695491920592,5.743300577002503e-06,0.009410960113843162,0.0008273554372302759,1.2742508534945825e-07,4.7482800972632586e-09,2.1726518232841988e-07,1.548065807908939e-08,3.2666070356124244e-07,1.027239909376872e-08,2.8291427574503947e-06,2.5108140636807426e-07,0.0003202288574200155,5.916978301551302e-06,0.0004655279591053829,1.650847785327416e-05,0.0005713992427239196,8.98033363197252e-06,0.0016787957346503079,7.344262648601222e-05,0.001512838625329315,1.5135756562694568e-05,0.0029504075889118246,7.691610208414171e-05,0.009187395370659712,0.0009570576299991632,409409.0,0.0,409.0,0.0,0.0006282321171952099,6.233372200762976e-05,0.025004560361041605,0.001225577077591763,0.004876656052850881,0.00024894388252977295,0.7609916028461393,0.020327943634058213,0.0006282321171952099,6.233372200762975e-05,0.00045073302028558916,2.898388014748066e-05,0.00200685363647576,0.00017146697809716484,0.04589012588818304,0.007297641123644206,0.008360131191625673,0.00025281945710953224,0.02120456235495546,0.000690403001981017,0.04463398245965045,0.0019428724049928155,0.21294123860684308,0.01652505353647238,0.028710647115226768,0.0001564332708667596,0.1331790599431746,0.003422119501991893,0.7609916028461393,0.020327943634058213,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,1.8700125737997877e-07,4.131285520310426e-09,3384.540678364341,145.38057549028574,3379.0316997300447,145.17195594524384,"s01,s02,s03",3
ssbfgs,2.766121763900077e-08,1.1632646023921849e-10,0.0001663158843632626,3.4946206276899784e-07,7.768990738678407e-05,8.847677383308316e-07,0.0020622966483185103,9.177580324695022e-05,2.7661217639000774e-08,1.1632646023921877e-10,6.911392770764342e-08,1.4695848895864493e-10,8.790660988254844e-08,6.436305836200028e-10,2.2187677978200942e-07,2.27221979386929e-08,0.0001455077164180655,4.923897183778276e-07,0.00026289380044375993,2.790771329313247e-07,0.0002964842489978539,1.086614154888454e-06,0.0004698512029370861,2.362865718341378e-05,0.0007130734844060593,2.382803503823907e-06,0.0014179180707201734,1.0110649065742254e-05,0.0020622966483185103,9.177580324695022e-05,409409.0,0.0,409.0,0.0,0.00023389509402369058,0.00012719069585533546,0.014157350442780712,0.004090508676435448,0.0022751227210852727,0.0004325463646985406,0.48646136147163405,0.1549823978145665,0.00023389509402369063,0.00012719069585533552,8.688312478091752e-05,7.5966083379567605e-06,0.00041410500757050407,0.00011967805027430322,0.02276191748084171,0.014495953942202775,0.004009504235016165,0.0007572784068320072,0.00930237333592497,0.00039824543694473667,0.019902407351812663,0.0029409629838716917,0.13550607149834729,0.04690427522053032,0.014005561031519528,0.0019779478433518583,0.06581062333638692,0.007683952571839023,0.45924991357710815,0.17547811230628274,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.4579158100334896e-08,8.672087297728274e-10,3387.5867673117123,27.322560924186984,3382.8967339586234,27.115114652249922,"s01,s02,s03",3
ssbroyden,2.3719050287507852e-08,9.272027455920106e-11,0.0001540093159520614,3.0073866228218177e-07,5.949094487708339e-05,3.1868232844650417e-07,0.0017857605872562132,5.5284046281583364e-05,2.3719050287507852e-08,9.272027455919915e-11,6.384942171576596e-08,3.000001336390329e-10,8.063772120240683e-08,1.9804230053973794e-10,1.575651561823208e-07,4.6680273296761794e-09,0.00012951572186268068,3.0156081437036997e-07,0.00025268279475623056,5.935892420651815e-07,0.0002839662970227617,3.489171607205767e-07,0.0003968565974134775,5.915964491014018e-06,0.000657889054938464,1.1251358764153925e-06,0.0013715017710084875,5.282548899362146e-06,0.0017833900354249366,5.711233881383708e-05,409409.0,0.0,409.0,0.0,0.000154060142158284,4.578293963956646e-05,0.012148362684057437,0.0017996424998989117,0.001743036238103518,0.00022379455142622118,0.47611813144704906,0.04437269428410896,0.00015406014215828406,4.578293963956649e-05,3.356704959950205e-05,1.3966995631616648e-06,0.0001986590362936862,2.7748287475765712e-05,0.017185820266689387,0.006839983766548747,0.003033365315080244,0.0002408290438237328,0.005790955826938437,0.00012177823517060507,0.014003484383720156,0.0009336723447658364,0.1260124959284842,0.02556042973585476,0.011231216919328773,0.0008140802270951308,0.05099545462917516,0.0030068481678984234,0.47611813144704906,0.04437269428410896,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.8253541767550216e-08,1.1051518416872744e-10,1190.7978802420741,1.8810348611551675,1186.278378147011,2.0329690046939755,"s01,s02,s03",3
adam_lbfgs,2.9749761153144887e-06,4.96796617448918e-07,0.001713374649300151,0.00014022023115455406,0.001115202572523433,9.07078558115136e-05,0.027229399099775214,0.002667866634004464,2.9749761153144883e-06,4.967966174489177e-07,5.217796782487978e-06,7.758772930174278e-07,7.00162079082734e-06,9.254280559228286e-07,3.341441376108024e-05,3.6050681214944363e-06,0.001609223635701671,0.00014349508082577936,0.0022718993885594827,0.00016769624983521296,0.002634833480105805,0.00017174501889267999,0.005762998147732575,0.00031801423734728184,0.007130622359186842,0.0004697005267217535,0.014169779544837974,0.0005166428700282977,0.01850962379436581,0.002600263260575133,409409.0,0.0,409.0,0.0,0.023095449414594196,0.000643819238017535,0.15194266289959582,0.002106727981251647,0.04775011046655266,0.0010181695193788997,1.3936190093177665,0.023936079428997226,0.023095449414594196,0.0006438192380175331,0.08043253786100579,0.002806339908350158,0.14341557790299156,0.009671297665486878,0.4653403253832344,0.018452989789399597,0.07247026152348258,0.0011332992962716378,0.2835069929179907,0.004898465061511605,0.3781972451096302,0.012903895867630858,0.6818847156273563,0.013666747547125194,0.1667155461616612,0.004678825024378193,0.7687908685385453,0.024021002965233972,1.2595362201721372,0.017128544830389163,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.909307537006936e-06,3.9050185090512707e-07,1198.6665045020636,3.42333089295071,1194.0701869269058,3.5397436796864277,"s01,s02,s03",3
adam_ssbroyden,2.3513189833342808e-08,1.5805578583026802e-11,0.0001533400943000351,5.154318163458111e-08,5.899982043359224e-05,2.0909677253435503e-07,0.0017792492313749946,2.6817245579697397e-05,2.351318983334281e-08,1.5805578583029467e-11,6.363119381210104e-08,9.598072492529119e-11,8.003253232094627e-08,1.6080916276577393e-10,1.4501791041998673e-07,1.9074170642792416e-09,0.00012884176840588488,1.24818853347788e-07,0.00025225204626697995,1.9014862361118017e-07,0.0002828979000074601,2.836955519843364e-07,0.0003807956737061229,2.5065221609546086e-06,0.0006529137932624971,1.8546198300797488e-07,0.0013882291404944643,6.41542696702641e-07,0.0017525025882663137,5.3069343190757906e-05,409409.0,0.0,409.0,0.0,0.0007056958035679727,0.00011491321898303485,0.026376447947671796,0.0022336961780570143,0.004104962129687184,0.0004911355303262191,0.6425079369561434,0.03585132880217643,0.0007056958035679727,0.00011491321898303479,0.00013069724049711413,3.628197439473904e-05,0.0009432963921086011,0.0002335616536870476,0.06369335155727789,0.010438693232114833,0.00665670521799627,0.00063104150042459,0.011218876633071286,0.0015518102843242103,0.030150726807318912,0.004036467770223466,0.25057016935846227,0.02130659269978919,0.01995472566972391,0.0008579482410440813,0.10066999127362332,0.00852041784991177,0.6425079369561434,0.03585132880217643,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.785554108771289e-08,1.0037096812754447e-10,1777.780863146026,4.777571838710774,1773.4551652586476,4.718958233651787,"s01,s02,s03",3
