density_label,strategy,best_id_eval_mse_mean,best_id_eval_mse_sem,best_id_eval_rmse_mean,best_id_eval_rmse_sem,best_id_eval_mae_mean,best_id_eval_mae_sem,best_id_eval_max_abs_error_mean,best_id_eval_max_abs_error_sem,best_id_eval_trajectory_mse_mean_mean,best_id_eval_trajectory_mse_mean_sem,best_id_eval_trajectory_mse_p90_mean,best_id_eval_trajectory_mse_p90_sem,best_id_eval_trajectory_mse_p95_mean,best_id_eval_trajectory_mse_p95_sem,best_id_eval_trajectory_mse_max_mean,best_id_eval_trajectory_mse_max_sem,best_id_eval_trajectory_rmse_mean_mean,best_id_eval_trajectory_rmse_mean_sem,best_id_eval_trajectory_rmse_p90_mean,best_id_eval_trajectory_rmse_p90_sem,best_id_eval_trajectory_rmse_p95_mean,best_id_eval_trajectory_rmse_p95_sem,best_id_eval_trajectory_rmse_max_mean,best_id_eval_trajectory_rmse_max_sem,best_id_eval_trajectory_max_abs_error_mean_mean,best_id_eval_trajectory_max_abs_error_mean_sem,best_id_eval_trajectory_max_abs_error_p95_mean,best_id_eval_trajectory_max_abs_error_p95_sem,best_id_eval_trajectory_max_abs_error_max_mean,best_id_eval_trajectory_max_abs_error_max_sem,best_id_eval_n_rows_mean,best_id_eval_n_rows_sem,best_id_eval_n_trajectories_mean,best_id_eval_n_trajectories_sem,best_ood_eval_mse_mean,best_ood_eval_mse_sem,best_ood_eval_rmse_mean,best_ood_eval_rmse_sem,best_ood_eval_mae_mean,best_ood_eval_mae_sem,best_ood_eval_max_abs_error_mean,best_ood_eval_max_abs_error_sem,best_ood_eval_trajectory_mse_mean_mean,best_ood_eval_trajectory_mse_mean_sem,best_ood_eval_trajectory_mse_p90_mean,best_ood_eval_trajectory_mse_p90_sem,best_ood_eval_trajectory_mse_p95_mean,best_ood_eval_trajectory_mse_p95_sem,best_ood_eval_trajectory_mse_max_mean,best_ood_eval_trajectory_mse_max_sem,best_ood_eval_trajectory_rmse_mean_mean,best_ood_eval_trajectory_rmse_mean_sem,best_ood_eval_trajectory_rmse_p90_mean,best_ood_eval_trajectory_rmse_p90_sem,best_ood_eval_trajectory_rmse_p95_mean,best_ood_eval_trajectory_rmse_p95_sem,best_ood_eval_trajectory_rmse_max_mean,best_ood_eval_trajectory_rmse_max_sem,best_ood_eval_trajectory_max_abs_error_mean_mean,best_ood_eval_trajectory_max_abs_error_mean_sem,best_ood_eval_trajectory_max_abs_error_p95_mean,best_ood_eval_trajectory_max_abs_error_p95_sem,best_ood_eval_trajectory_max_abs_error_max_mean,best_ood_eval_trajectory_max_abs_error_max_sem,best_ood_eval_n_rows_before_filter_mean,best_ood_eval_n_rows_before_filter_sem,best_ood_eval_n_trajectories_before_filter_mean,best_ood_eval_n_trajectories_before_filter_sem,best_ood_eval_n_rows_mean,best_ood_eval_n_rows_sem,best_ood_eval_n_trajectories_mean,best_ood_eval_n_trajectories_sem,final_test_mse_mean,final_test_mse_sem,training_seconds_mean,training_seconds_sem,total_seconds_mean,total_seconds_sem,seeds,n_runs
p4k,uniform_lhs,2.975161055556545e-06,3.716521901750216e-07,0.0017184283537099703,0.00010527356914768663,0.0010629614493460613,8.618874634181983e-05,0.03009646042486014,0.0037509126647236016,2.975161055556545e-06,3.716521901750216e-07,5.916419754239598e-06,5.516031992829699e-07,8.246625278220213e-06,4.746731656238214e-07,3.067881051244412e-05,6.198609897576471e-06,0.0015820763078594688,0.00011165725040525799,0.0024272428570518874,0.0001114342739996731,0.0028690551410123478,8.152086861439927e-05,0.0054821478580862225,0.000558956784789649,0.007144773051128783,0.0003579684771568214,0.014804394560852982,0.0007383439940240494,0.020463434361951242,0.0015215978732974035,409409.0,0.0,409.0,0.0,0.02711862672087853,0.0009055473350905645,0.1646317874472691,0.0027387298877162157,0.05176553445880628,0.0012188620778519567,1.434848638001532,0.020753517598273118,0.02711862672087853,0.0009055473350905651,0.09759350566258695,0.0030872954103125004,0.17190504655260597,0.01004249630063862,0.512792609226267,0.011218005182981387,0.07959109622437888,0.0017149150124766957,0.31232091776508203,0.004903014511414475,0.41414259154847444,0.012117980376965114,0.7160106101058762,0.007791515965394187,0.18746100769497379,0.0024397392557166356,0.8297619343221238,0.009290315484938803,1.2040684297828166,0.01958477336485375,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.223223745324449e-06,3.4748351957421654e-07,6884.14246555899,32.80379999373771,6889.440094352001,32.889852783012365,"s01,s02,s03",3
p4k,random_resampling,2.875044487750505e-06,5.793950402716993e-07,0.0016789653085648025,0.00016751116438375424,0.0010048884824068434,0.00010357492391812582,0.02949639733803122,0.003745568351376326,2.875044487750505e-06,5.793950402716993e-07,5.978951335920715e-06,1.0606385964000387e-06,9.26271333308773e-06,2.1666145474669846e-06,2.5477913899898016e-05,3.911164189618099e-06,0.001527289175687324,0.00014591846224807324,0.0024270132214604632,0.0002102965604886056,0.00300341857218089,0.0003476154973784546,0.005018159095124668,0.00038470325961420635,0.0068170820402041294,0.0004334920803967593,0.013594495706930013,0.000576180279549158,0.013415761215668192,0.00022781741604525852,409409.0,0.0,409.0,0.0,0.029948638653042342,0.0004914160595265597,0.17304512745833653,0.0014181882756548882,0.05461497597381384,0.0004045189633598432,1.4528996665934877,0.028991967770034148,0.029948638653042342,0.0004914160595265589,0.10758040436132027,0.0013770107641316602,0.188002545853183,0.008243230376183682,0.5568752963498008,0.020490764129481115,0.08428624576410197,0.0007772543906178432,0.32798084158029217,0.002104624398893081,0.43336439532937193,0.009495541982779958,0.7459873616493843,0.013750501976133922,0.19574746405748447,0.004364958323645531,0.8577584220423841,0.005769034167825846,1.2440447951674636,0.020837187167117365,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.549025756309269e-06,5.517067891262505e-07,6979.442165881318,7.9247801100920094,6984.787157753638,7.85504286814877,"s01,s02,s03",3
p4k,rad,3.0216064345775908e-06,4.754081381282294e-07,0.001726908789132911,0.0001403432730719465,0.0010602974425910007,9.935801163873039e-05,0.026046990107208717,0.0009912781174919868,3.0216064345775908e-06,4.7540813812822926e-07,6.198837819641433e-06,7.427024124619714e-07,8.903558308677363e-06,1.7127411963680014e-06,3.5519553290939415e-05,1.356698517801934e-05,0.0015900799956107094,0.00012593697030181155,0.0024806071652062316,0.000150340114719491,0.002956512951052754,0.00028451573812652843,0.005761740863276275,0.0010774728570576097,0.0068323271116217735,0.00033940422917384556,0.014195533434630444,0.001094414256818213,0.018888713688101553,0.0032602029340775903,409409.0,0.0,409.0,0.0,0.029083582148830417,0.0006679644875386419,0.1705163340974337,0.001970019644927286,0.053522874430915524,0.0007579389198643323,1.44539278635666,0.026664201656942586,0.029083582148830417,0.0006679644875386436,0.10402244906359408,0.002418295105961811,0.18192561030002696,0.008420063678480522,0.5469477210796287,0.0043808662050907644,0.08263316799724814,0.0011753418111441725,0.3224792344061127,0.0037503018315322607,0.42627868592803875,0.009988782252419282,0.7395473159726925,0.0029570692598566367,0.19085558966174768,0.0013009128069325902,0.8452133790038476,0.004664447458210146,1.2610769865744498,0.018950544150871936,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.7757451351491494e-06,9.824257288015768e-07,7187.8980740556335,14.978281129068666,7193.561849509676,15.526623799598198,"s01,s02,s03",3
p32k,uniform_lhs,3.127455131219224e-06,2.948864399340369e-07,0.0017646281423481663,8.228806247592581e-05,0.0010829456410565346,4.759628247027193e-05,0.03729788941682396,0.0036371575067445676,3.127455131219224e-06,2.948864399340366e-07,6.6027022989567745e-06,6.604655367220874e-07,9.168468652699438e-06,1.0073256986464368e-06,2.449860356961014e-05,2.5095844164070636e-06,0.0016254512543743577,7.63165724020821e-05,0.0025633242071245515,0.00012610658261429764,0.003019158986025797,0.0001629145805985775,0.0049371077989989725,0.00024856603818066575,0.007288025900133786,0.0003829460978282248,0.01529005524561551,0.0011172184805605355,0.021698882752352783,0.006146528649443427,409409.0,0.0,409.0,0.0,0.027606734283818296,0.0007638591645187155,0.16612132030541737,0.002284865838863961,0.05190796745691619,0.000662236597267821,1.4605339914899798,0.02886399121018955,0.027606734283818293,0.0007638591645187161,0.09785532552128721,0.0012281289629971627,0.1781238121668938,0.008637340600112406,0.5150650523591133,0.009478073521649626,0.07988830466232859,0.001070373318315095,0.3128035851162592,0.0019697658602334718,0.4217744035372771,0.010123478334074395,0.7176189956699894,0.006634358021275724,0.1873269855420269,0.003103902314831791,0.8252221884716495,0.016112781521725794,1.1832065119207487,0.05285991269025419,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,4.7242435865883295e-06,1.5873949662802307e-06,6967.171859559002,15.673199650999154,6977.374226684643,20.58720837524933,"s01,s02,s03",3
p32k,random_resampling,2.896764361437224e-06,4.434189996410571e-07,0.0016918684418403996,0.00013104491012962453,0.0010447158744700516,7.96404895210717e-05,0.025674337978456696,0.000959323764816786,2.896764361437224e-06,4.43418999641057e-07,5.7214304736532935e-06,8.402115174678894e-07,8.704946408962594e-06,1.8707512578354869e-06,2.660178904417567e-05,5.5119780171912635e-06,0.00154648611323682,0.00011335917312876063,0.0023791603091571864,0.00017290825926669537,0.0029177490141073827,0.00030911005513235016,0.00509355967019624,0.0005733406187974294,0.006711826686881879,0.0004476682805907572,0.014436405746730203,0.0009551469955389974,0.01310759299483845,0.001690120431239224,409409.0,0.0,409.0,0.0,0.028606357120946318,0.002368109486946529,0.16884054442639942,0.0070437092055022415,0.05281294058347553,0.0025953750821131765,1.4857819283222995,0.037295882339698876,0.028606357120946318,0.002368109486946531,0.10222674202172465,0.009870868973051833,0.18047032136180033,0.014447011192301622,0.5414822804594429,0.033104060919510236,0.08164411709197783,0.0041607475335833114,0.31897993715744327,0.01530495605062869,0.4240834916066952,0.01730976682973188,0.7351758950868718,0.02234595872478749,0.19251014000104813,0.006259428359497449,0.8404758566908366,0.028402349819983595,1.256217190988658,0.07325091420114194,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.1740334337361255e-06,5.626020945408342e-07,6774.270899358632,12.564140262200187,6781.070686043317,13.083985636969288,"s01,s02,s03",3
p32k,rad,2.532563397589412e-06,4.0379842939533206e-07,0.0015805378315868757,0.0001312698756609249,0.0009797989567456287,8.715714469771814e-05,0.026613190185190445,0.0028358008199265887,2.5325633975894115e-06,4.0379842939533195e-07,5.160316014854491e-06,8.076946812044515e-07,6.839987334578499e-06,1.244470228631265e-06,3.1186994540352744e-05,1.2132240675568047e-05,0.0014545733344279597,0.0001106850213047777,0.002257212337491566,0.0001806538670373305,0.0025939949084597086,0.00023548961374408623,0.005374461191913635,0.0010728842987403214,0.006144928605000391,0.0004971838019481355,0.01226674842826359,0.0011480985433685992,0.017017891230416377,0.0023791045230479296,409409.0,0.0,409.0,0.0,0.03083614470065636,0.0010333200809910727,0.1755521180852425,0.0029663560509008927,0.05548753610556791,0.001142950238119196,1.4820602222153596,0.03651925941015505,0.03083614470065636,0.0010333200809910716,0.11279868237689823,0.00396090220250623,0.19039292146084388,0.0038641456064401497,0.568503020803048,0.018522411964082733,0.08561761399665906,0.0020494130815803518,0.33574108663455476,0.005950864509720853,0.4362876336592619,0.004445372831843647,0.7537880315218001,0.012381929121459287,0.19676651821442884,0.004711546319469977,0.8731488846576353,0.008271414757583528,1.302242792872624,0.05268570001646775,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.4060285020806553e-06,1.0299474626920836e-06,6840.625183314395,34.40440038188227,6845.883966052982,34.414014168793145,"s01,s02,s03",3
p64k,uniform_lhs,3.2320105650897756e-06,8.245702850046953e-07,0.0017707374099942812,0.00021965835965940378,0.0010740795735323825,0.00014328792519994107,0.026405771720802385,0.0023488023032625866,3.2320105650897756e-06,8.245702850046954e-07,6.6430075493315456e-06,1.79544588194372e-06,9.269008139376118e-06,2.359742223155942e-06,2.4255709136987095e-05,1.0255059246913408e-05,0.0016313689499296985,0.0001961354820075886,0.0025340068447247863,0.00033299382987695894,0.00299806980421243,0.00037404124565586255,0.004724689701252515,0.0009831114799109797,0.007157094874973711,0.0004358508489872243,0.014629831989036906,0.0008985458011058443,0.01305767985130076,0.002187444278277782,409409.0,0.0,409.0,0.0,0.028526983044919445,0.0001838897930293236,0.1688975769948056,0.0005438429015629458,0.053140584817810865,0.0005920822721103446,1.4511534842867304,0.033795406500785316,0.028526983044919445,0.00018388979302932582,0.10048517257837346,0.0032251759855793753,0.18294481613795432,0.0006573896668972391,0.5295732617345156,0.01136945709621617,0.0813397463892915,0.0005010363214687253,0.31690601519545986,0.0051044016353994776,0.42767267280364457,0.0007776339785823259,0.7276343305586703,0.007795598981197626,0.18816197345881183,0.0004974542606761899,0.8347485187302913,0.003955574882856016,1.1937669153069608,0.039875968095278054,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.0212261119544845e-06,1.5589397995624144e-07,6917.278705264995,36.04718256325337,6922.743731002993,36.26137290699141,"s01,s02,s03",3
p64k,random_resampling,3.4001938237848398e-06,9.084634244857019e-07,0.0018136090226512681,0.00023560150333004187,0.001117034587352336,0.00014305727426032464,0.03020118181664237,0.00503814227775234,3.40019382378484e-06,9.084634244857017e-07,6.652235318838531e-06,1.826527974078904e-06,8.974279828418703e-06,2.031083238580084e-06,3.7581565671503716e-05,1.6251392696527603e-05,0.0016418649676337403,0.00019122392465130848,0.0025344063884891075,0.00033808528622522577,0.002959837893073799,0.0003260947156511854,0.0058694547574954506,0.001251212715971537,0.006626947102759756,0.00039387517099084124,0.013404426554590626,0.0004995749513460236,0.023193740933697273,0.008588181073627492,409409.0,0.0,409.0,0.0,0.028303287183616854,0.0008612661707572068,0.16819643307501156,0.002573624337389619,0.052642057570420765,0.0009120272205158334,1.46938251942316,0.03789428489362535,0.028303287183616854,0.0008612661707572077,0.09921565721878432,0.0007056873366879709,0.18284650394228208,0.008923685889882417,0.5176998410795034,0.015738534494410407,0.08127894168643,0.0013635747422000273,0.31496420332176966,0.001107716944340677,0.4272680847091374,0.010475064909475373,0.7193447904267686,0.011020743290987635,0.18935646085331959,0.002234129236253691,0.8347129897237734,0.009650609935901432,1.1945313505256825,0.04631310772892594,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,3.3715986214805193e-06,6.999000290080733e-07,6763.318287534658,51.620130854621465,6774.688353948023,48.08871940239909,"s01,s02,s03",3
p64k,rad,2.5325548621636142e-06,2.6353741043598434e-07,0.0015868713646910203,8.483552937087393e-05,0.0009485314406648494,6.709954445293441e-05,0.025564877347510718,0.0025635458760478987,2.5325548621636142e-06,2.635374104359844e-07,5.36996028649433e-06,5.462001150550663e-07,7.663813995746554e-06,7.437468930978204e-07,2.289975292275837e-05,2.229098444209124e-06,0.0014374551232558222,8.408464038006472e-05,0.0023110983453970423,0.00011966997161688932,0.0027610600504256095,0.00013837849663678344,0.004773548916890523,0.00023768010098836948,0.0059148779818301135,0.00014679219762017153,0.012284256387219536,0.00044312417291725244,0.016508826538091603,0.004051425209746396,409409.0,0.0,409.0,0.0,0.03039251587437766,0.001551514163039253,0.174221677276897,0.004434131324307502,0.054736941965869056,0.001663672812642391,1.4922354375263656,0.054195090335352,0.030392515874377662,0.0015515141630392533,0.10893546639291385,0.007390033890323125,0.19693185598021765,0.009349799040326665,0.532368618761635,0.020652252063818665,0.08464057776708699,0.002741290088982989,0.3296846437769045,0.011023980515870899,0.44350615983840963,0.010598009056782747,0.7293614061722851,0.014151995407399982,0.196024267466965,0.0038094168577246837,0.8615163907218507,0.014255779543904314,1.2018451016937846,0.028776748774389186,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.9994767889890947e-06,4.650254268994802e-07,6233.495912099315,3.651932296881591,6243.461331228667,7.140513126075692,"s01,s02,s03",3
