workflow_id,workflow_version,method,model_flag,preset,stage,stage_role,stage_root,budget,objective_metric,objective_direction,config_group_id,rank,is_winner,is_shortlisted,n_dataset_seeds,dataset_seeds,member_cfg_ids,member_statuses,all_completed,objective_mean,objective_std,objective_min,objective_max,mean_final_round_seconds,mean_final_train_seconds,mean_final_candidate_generation_seconds,mean_final_candidate_simulation_seconds,mean_final_acquisition_seconds,mean_final_selected_simulation_seconds,mean_final_eval_seconds,active.marker.pca_explained_variance,active.marker.k_density,active.marker.preselect_factor,active.marker.greedy_score_weight,active.marker.weights.diversity,active.marker.weights.sparsity,qbc_P
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_974c04e92c,11,False,False,2,s01;;s02,cfg_00030_14acabafd9;;cfg_00078_a5f468cc09,completed,True,0.006469608569447983,0.0001172541745343,0.006352354394913683,0.006586862743982283,79.89954399449925,73.37718085000233,0.0023431644949596375,4.204129310499411,2.2422665045014583,0.0,0.0398154934955528,0.9,20,3,0.7,0.6,0.4,2048
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_e1ee76a921,12,False,False,2,s01;;s02,cfg_00011_1ef13adb40;;cfg_00059_24f14dbe9a,completed,True,0.006482482051180214,0.00021479862064693704,0.006267683430533277,0.006697280671827151,95.32397824600048,74.04160318548384,0.00491304301249329,16.940169490495464,4.26699636450212,0.0,0.03523824749572668,0.9,20,3,0.9,0.8,0.2,8192
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_8a1ffc2450,13,False,False,2,s01;;s02,cfg_00005_df609aa164;;cfg_00053_a5abf3fcd2,completed,True,0.0065242129890122425,0.0003855193462373365,0.006138693642774906,0.006909732335249579,96.81089205050375,75.40767251249054,0.004562220492516644,17.033778540004278,4.294241801486351,0.0,0.03497688699280843,0.9,10,3,0.9,0.8,0.2,8192
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_b65c9de928,14,False,False,2,s01;;s02,cfg_00036_1581767006;;cfg_00084_cdf9c0f095,completed,True,0.0066084486047830095,1.5604592459292788e-05,0.006592844012323716,0.006624053197242302,79.88162356549583,73.39546038200206,0.0018473150121280923,4.164689683006145,2.2466629835107597,0.0,0.0391921364935115,0.95,10,3,0.7,0.6,0.4,2048
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_d778d55e43,15,False,False,2,s01;;s02,cfg_00046_831e8a2a84;;cfg_00094_857eefdb5f,completed,True,0.006683092007415564,0.00010180607168371308,0.006581285935731851,0.006784898079099277,85.62086197000463,74.23479085600411,0.002547166484873742,8.380726814997615,2.931662836999749,0.0,0.037062235991470516,0.95,20,3,0.9,0.6,0.4,4096
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_479a2d81dd,16,False,False,2,s01;;s02,cfg_00010_32e560826f;;cfg_00058_3a59b3f698,completed,True,0.006824056020124685,0.00022611086827258346,0.006597945151852101,0.007050166888397268,86.23099806701066,74.78885582150542,0.0026403129886602983,8.445924385494436,2.9222474910056917,0.0,0.03705297349370085,0.9,20,3,0.9,0.8,0.2,4096
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_6646f66adc,17,False,False,2,s01;;s02,cfg_00026_f93c016941;;cfg_00074_858306a2c9,completed,True,0.006846636677439287,0.0006644913408172292,0.0061821453366220575,0.007511128018256516,94.71396823499526,73.58599722950021,0.003505559012410231,16.780617733995314,4.2714518859866075,0.0,0.037957168504362926,0.9,10,3,0.7,0.6,0.4,8192
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_ea09748c6c,18,False,False,2,s01;;s02,cfg_00001_6e3878056f;;cfg_00049_35d3d82f86,completed,True,0.006937792980744872,0.0006925594562212146,0.006245233524523657,0.0076303524369660865,86.36866500799078,74.92119909651228,0.002988159001688473,8.450499383980059,2.922299917496275,0.0,0.037554737500613555,0.9,10,3,0.7,0.8,0.2,4096
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_ab4ec6927f,19,False,False,2,s01;;s02,cfg_00015_97fbe8ad5f;;cfg_00063_823dc2d8ae,completed,True,0.0071432212827626336,0.0006563885905789884,0.006486832692183645,0.007799609873341622,81.12632160598878,74.6067610290047,0.0015627754910383373,4.198526593492716,2.2469899270072347,0.0,0.03845979551260825,0.95,10,3,0.9,0.8,0.2,2048
marker_directed_sm_avr_gov_v1,1,marker_directed,SM_AVR_GOV,default,refine,refinement_and_schedule_search,/zhome/14/b/214266/Repos/ml-surrogates-for-power-systems/outputs/hpo_workflows/marker_directed_sm_avr_gov_v1_20260320_145448/refine,b4096,final_eval_rmse,minimize,grp_dba762fe0f,20,False,False,2,s01;;s02,cfg_00012_0e2ee0cf10;;cfg_00060_2a767331f3,completed,True,0.007156065588755178,0.0006748194380201133,0.006481246150735065,0.007830885026775291,81.2506408939953,74.64652872551233,0.00170773001445923,4.271811238490045,2.2565823454933707,0.0,0.04002495949680451,0.95,10,3,0.7,0.8,0.2,2048
