strategy,best_id_eval_mse_mean,best_id_eval_mse_sem,best_id_eval_rmse_mean,best_id_eval_rmse_sem,best_id_eval_mae_mean,best_id_eval_mae_sem,best_id_eval_max_abs_error_mean,best_id_eval_max_abs_error_sem,best_id_eval_trajectory_mse_mean_mean,best_id_eval_trajectory_mse_mean_sem,best_id_eval_trajectory_mse_p90_mean,best_id_eval_trajectory_mse_p90_sem,best_id_eval_trajectory_mse_p95_mean,best_id_eval_trajectory_mse_p95_sem,best_id_eval_trajectory_mse_max_mean,best_id_eval_trajectory_mse_max_sem,best_id_eval_trajectory_rmse_mean_mean,best_id_eval_trajectory_rmse_mean_sem,best_id_eval_trajectory_rmse_p90_mean,best_id_eval_trajectory_rmse_p90_sem,best_id_eval_trajectory_rmse_p95_mean,best_id_eval_trajectory_rmse_p95_sem,best_id_eval_trajectory_rmse_max_mean,best_id_eval_trajectory_rmse_max_sem,best_id_eval_trajectory_max_abs_error_mean_mean,best_id_eval_trajectory_max_abs_error_mean_sem,best_id_eval_trajectory_max_abs_error_p95_mean,best_id_eval_trajectory_max_abs_error_p95_sem,best_id_eval_trajectory_max_abs_error_max_mean,best_id_eval_trajectory_max_abs_error_max_sem,best_id_eval_n_rows_mean,best_id_eval_n_rows_sem,best_id_eval_n_trajectories_mean,best_id_eval_n_trajectories_sem,best_ood_eval_mse_mean,best_ood_eval_mse_sem,best_ood_eval_rmse_mean,best_ood_eval_rmse_sem,best_ood_eval_mae_mean,best_ood_eval_mae_sem,best_ood_eval_max_abs_error_mean,best_ood_eval_max_abs_error_sem,best_ood_eval_trajectory_mse_mean_mean,best_ood_eval_trajectory_mse_mean_sem,best_ood_eval_trajectory_mse_p90_mean,best_ood_eval_trajectory_mse_p90_sem,best_ood_eval_trajectory_mse_p95_mean,best_ood_eval_trajectory_mse_p95_sem,best_ood_eval_trajectory_mse_max_mean,best_ood_eval_trajectory_mse_max_sem,best_ood_eval_trajectory_rmse_mean_mean,best_ood_eval_trajectory_rmse_mean_sem,best_ood_eval_trajectory_rmse_p90_mean,best_ood_eval_trajectory_rmse_p90_sem,best_ood_eval_trajectory_rmse_p95_mean,best_ood_eval_trajectory_rmse_p95_sem,best_ood_eval_trajectory_rmse_max_mean,best_ood_eval_trajectory_rmse_max_sem,best_ood_eval_trajectory_max_abs_error_mean_mean,best_ood_eval_trajectory_max_abs_error_mean_sem,best_ood_eval_trajectory_max_abs_error_p95_mean,best_ood_eval_trajectory_max_abs_error_p95_sem,best_ood_eval_trajectory_max_abs_error_max_mean,best_ood_eval_trajectory_max_abs_error_max_sem,best_ood_eval_n_rows_before_filter_mean,best_ood_eval_n_rows_before_filter_sem,best_ood_eval_n_trajectories_before_filter_mean,best_ood_eval_n_trajectories_before_filter_sem,best_ood_eval_n_rows_mean,best_ood_eval_n_rows_sem,best_ood_eval_n_trajectories_mean,best_ood_eval_n_trajectories_sem,final_test_mse_mean,final_test_mse_sem,training_seconds_mean,training_seconds_sem,total_seconds_mean,total_seconds_sem,seeds,n_runs
data_only,3.5821660796852777e-06,4.033412359380344e-07,0.0018869362028538508,0.00010401405204290617,0.0012023503175223238,6.0215782293415104e-05,0.04824897056563249,0.0003770066888946868,3.5821660796852777e-06,4.033412359380344e-07,6.9753111641907165e-06,4.6406219857535075e-07,9.52402540567992e-06,7.494846560518276e-07,3.1275850313638086e-05,4.288427651035063e-07,0.0017456651918235334,0.00011197425101616298,0.0026382352348667056,8.662853334374926e-05,0.0030814062566954033,0.00011934578882656994,0.005592218960687005,3.832368308787803e-05,0.009121534056446551,0.0003557115643324463,0.019895374568458104,0.0015767833937413748,0.021639521439894355,0.003847459667340106,409409.0,0.0,409.0,0.0,0.027592504193936537,0.0003426280217335369,0.16610354542704622,0.0010286861770534312,0.051768019552785684,0.0007594827828063672,1.4069239284895254,0.010031078183319572,0.027592504193936537,0.00034262802173353575,0.09896827299381479,0.002493014322778915,0.17624117572090572,0.0027680307584908703,0.5303900845393322,0.01490461579399125,0.08059674119069242,0.0008502191761890326,0.31452641009038174,0.003939902530877576,0.4197676399631298,0.003291992991301409,0.7281351959274671,0.010227927233836264,0.20310371577543784,0.005033485421278218,0.8453887015118767,0.010234792066095698,1.17255662888961,0.06778418974613573,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,6.443391167042227e-06,2.345238490891927e-06,15212.564928763351,794.2667203755983,15229.848387118653,793.272839413306,"s01,s02,s03",3
static_tuned,3.1101384075814803e-06,7.861318332211434e-08,0.0017632751252083896,2.2352185606985682e-05,0.0010563336881313375,2.7915768624483304e-05,0.03777218671068979,0.0016945347718570084,3.1101384075814803e-06,7.861318332211409e-08,6.521441337314808e-06,2.7882365666702275e-07,9.79809978895954e-06,6.106307012306682e-07,2.7440535209262276e-05,2.019858867778878e-06,0.0015974806914279417,3.6085463182932165e-05,0.0025524846380386,5.511244708364692e-05,0.0031271864792139503,9.663879192479984e-05,0.005231369600523914,0.00019145144551105836,0.0074936730194121405,8.832001579340092e-05,0.016496582433835633,0.0007668185399394761,0.017796155680039356,0.005412580098654425,409409.0,0.0,409.0,0.0,0.02818192886253344,6.853623064454251e-05,0.16787449322660453,0.00020418918206613435,0.05206500153122693,0.00015958466276421747,1.4542875017406416,0.011931858747766068,0.02818192886253344,6.853623064454111e-05,0.09745772904735983,0.002905857243731087,0.18249216242882346,0.005049558156676493,0.519488850603439,0.019450739722202376,0.08086181889032812,0.00026121591265946436,0.3121109292989451,0.004634218473840872,0.4270903646774236,0.005926233206237868,0.7204980942713265,0.013626201870395848,0.19137622970692195,0.0022307773943722117,0.8489466176088012,0.01327616956880842,1.28785544243517,0.08619955586326,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,6.021208582733047e-06,1.354967358671141e-06,14846.39549907229,457.29722353468856,14853.062113254293,457.4041637852263,"s01,s02,s03",3
static_uniform,0.00015980989599180873,1.77396094968788e-05,0.012600000716590969,0.0007245267192159853,0.00855387548426205,0.0004168431232313308,0.07229580735802103,0.0046689937920308,0.00015980989599180873,1.7739609496878797e-05,0.0003942571820537482,3.950985858525726e-05,0.0005751361157677845,5.0582392457646484e-05,0.0011132162552663681,0.0001280678091613011,0.010961066193701685,0.0007102725368919447,0.01980281108108468,0.0010229811883931714,0.02393358546387861,0.0010753204742999024,0.0332504051825429,0.0019527942112640283,0.022554296704044297,0.0016945914149294635,0.0473551023376113,0.002585394584700194,0.06759944040494913,0.007211180686101819,409409.0,0.0,409.0,0.0,0.018825112584307264,0.0016288141397301113,0.1369545279426763,0.00585533347922908,0.05509784622059557,0.0012946362526721762,1.258845063227043,0.07327181011701814,0.018825112584307264,0.0016288141397301102,0.04714466882138382,0.00690481031525845,0.10285588820871472,0.010282257597519297,0.47119456900603923,0.01956597929411201,0.07663671700187409,0.002925012678370941,0.21599754459987688,0.01561695434870829,0.31991598109281233,0.015859538652259222,0.6861445379257463,0.014146414399120528,0.1514485208794312,0.006935586178072531,0.576263634325226,0.026106994127982106,1.1963582042203071,0.025719854488795026,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,0.0002665580292077569,5.0246683563168525e-05,14149.33149034365,238.93049550021885,14155.922038973347,239.01428440839973,"s01,s02,s03",3
data_warmup_static,3.0251628345559733e-06,5.060118486480548e-07,0.0017278529697414005,0.0001408668689078378,0.0010519681213200882,4.331719702777491e-05,0.029287071412358017,0.001967405657279693,3.0251628345559733e-06,5.060118486480544e-07,5.479183331667452e-06,5.873933544660764e-07,8.872485398013307e-06,2.0497526746035744e-06,3.933952441463307e-05,1.991689743684569e-05,0.0015570268904090366,8.582900162067233e-05,0.0023342497449465797,0.0001233736070649525,0.0029414428407584024,0.00033193270338487563,0.005903565607726831,0.0014979047916837053,0.0068852878495527835,0.00025813534377148783,0.013997923228067942,0.0008349474765545183,0.02154961710084367,0.004392260896410184,409409.0,0.0,409.0,0.0,0.02753383636260465,0.002052758418585669,0.16570408723629185,0.006164082891721814,0.05123364320480933,0.0024225049351880366,1.458364508072776,0.05005280360188301,0.027533836362604657,0.0020527584185856713,0.09794565184664307,0.00967780973740764,0.18192634213207529,0.013679622762866942,0.4923189651159428,0.024159884202185577,0.07986205013070304,0.003962211165646324,0.3122213541089875,0.015206578876192284,0.4258779274789397,0.0158151772817668,0.7012311274596685,0.017231816468164362,0.19154978075892762,0.005789188078353798,0.850174143375574,0.016908082791718158,1.3531154653574742,0.0787140207138704,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,1.1049215169130867e-05,3.2318445855063842e-06,14158.938994322001,241.46929478091909,14165.957125421672,241.56207401942714,"s01,s02,s03",3
ma,8.999965874274629e-06,2.064524010002171e-06,0.002957416654790747,0.0003561268062368648,0.002061171310497287,0.00019414118752610144,0.02137927689170967,0.0018596945225774512,8.999965874274627e-06,2.064524010002171e-06,2.0424171296180165e-05,5.393333564987598e-06,2.607652799903844e-05,5.900317513983946e-06,6.87879656409828e-05,6.445558186385881e-06,0.0026873139271524696,0.00032354767817463915,0.00443427443970834,0.0006169455453683605,0.005035339302541852,0.0006003170965823707,0.008276040272211531,0.0003841373801881923,0.006158977722758746,0.000762240103542141,0.01238238557094501,0.0018982084652491057,0.01984576715425009,0.00039877851768948673,409409.0,0.0,409.0,0.0,0.017608583932671572,0.003010038016138391,0.1317876227093021,0.010968282301760156,0.041015219127702375,0.004466302784238561,1.2595699017730702,0.06526618238151698,0.017608583932671572,0.0030100380161383897,0.04413889173268348,0.011288947195523162,0.10001594123094674,0.01952806682604323,0.48162123520399147,0.05476539798185124,0.0620964150964845,0.006849157144609378,0.20692553361553864,0.02569170036073498,0.3133452398721595,0.029718152363893493,0.6918355015021809,0.03863207259012546,0.14262909199669715,0.01753079387857382,0.6198139105146,0.06218939133610246,1.1736827400831946,0.060178031334573445,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,5.071660114750804e-05,1.5359100049150042e-05,15111.062732368979,1058.4115227529858,15136.791704820333,1058.6815864804578,"s01,s02,s03",3
id,7.771336147193973e-06,2.3578900261048114e-06,0.0027266319226783163,0.00041037452736830606,0.0019022571742042243,0.00029190461357201427,0.019957263272300296,0.003924527648851047,7.771336147193973e-06,2.3578900261048126e-06,1.583243343759455e-05,4.649612835116499e-06,2.079076056700805e-05,5.620395796019644e-06,6.102828231687591e-05,1.9487620567424946e-05,0.002492842276603926,0.00037846356870833986,0.0038984328021468757,0.000563298176501112,0.0044797459628701875,0.0006010616185721072,0.007618303276807484,0.0012226482526590074,0.006707121340318738,0.0013882430840586944,0.012450756557461896,0.0024120088100837295,0.017497743765068557,0.004020068603934724,409409.0,0.0,409.0,0.0,0.018163293191797898,0.0018139753696751984,0.13444286131931915,0.006648692806568141,0.04269735967320212,0.003530755472616465,1.277009282037426,0.04196087728954367,0.018163293191797898,0.0018139753696751987,0.05635052391606127,0.007782280410586961,0.10558722278080189,0.007307038472540292,0.42376028306050184,0.033266372144705646,0.06466642813226099,0.004651844460101476,0.2362407566425324,0.016423327820746177,0.32449865672228256,0.01138459524839723,0.6499954429500661,0.02516155007793861,0.14826165770650487,0.00700990921641943,0.6752776855888722,0.008635445828974584,1.1704435973437775,0.09467565506605125,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,1.3328237246637765e-05,2.606518485150798e-06,15611.140409028681,1076.564664246929,15618.06813946997,1076.4808837243781,"s01,s02,s03",3
dn,1.0040313793062014e-05,2.687746775238193e-06,0.0030984373507962674,0.0004690414567245755,0.0022222153752815103,0.0003489793135685514,0.0256827182585105,0.0056279450629197515,1.0040313793062014e-05,2.687746775238193e-06,2.0407201849671586e-05,5.2958467264369695e-06,2.8975155562026947e-05,7.680907730630975e-06,8.089412461240572e-05,2.5745436531299164e-05,0.002857655488381782,0.00042920188088948883,0.00442425023161756,0.0006453520533896773,0.005268122178336326,0.0007814616628973584,0.008692165795295767,0.001634071356993941,0.007095665683442195,0.0009435919741080347,0.01352241773339028,0.0019918667758851297,0.02294509939503638,0.0056248933253006264,409409.0,0.0,409.0,0.0,0.015243189227313457,0.00034334201618042186,0.12344771560318162,0.0013875769653336287,0.039330991895544724,0.0011173025174213732,1.2289949290217939,0.01863336023969874,0.015243189227313459,0.0003433420161804218,0.04098713405695852,0.0014676951210066693,0.08348483978328637,0.003395262099885009,0.4144701499073657,0.027622246789123568,0.05875916286222519,0.0016569491926856838,0.20235098558448192,0.003641971907907525,0.28880394608738486,0.005835437043676175,0.6430597596483669,0.021728960264475287,0.1313279706854815,0.006528273037261851,0.5676242969280803,0.02379854342905419,1.1713571032920438,0.059157622220332905,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,1.3962971644431656e-05,3.5281857537605143e-06,15807.323330869394,1083.4933518355974,15815.000371902037,1083.2868302292702,"s01,s02,s03",3
ntk,4.607485279080512e-06,2.9868456838690736e-07,0.0021441766559685666,7.068149361737748e-05,0.0014878582386656485,2.8744900167626726e-05,0.019725274335763803,0.003307171295785789,4.607485279080511e-06,2.986845683869074e-07,9.667159420917533e-06,1.3376742528933694e-06,1.2785571506493221e-05,2.445924752998443e-06,3.577077374437632e-05,5.183565531085947e-06,0.001974555493892568,3.982220615193561e-05,0.0030946992382135537,0.00021211957739754333,0.0035440810472592015,0.0003354272823395595,0.005946753872967478,0.0004510499521797034,0.005220161274928214,2.8809700557672336e-05,0.01036127565900259,0.0009440249517923845,0.013710675783974521,0.0006922078566241323,409409.0,0.0,409.0,0.0,0.022341190969520707,0.0015563137904144198,0.14928175532110288,0.005298513837439541,0.04630239797834848,0.002007975730983889,1.3127031772980418,0.03947447234563746,0.02234119096952071,0.0015563137904144213,0.07432145628891566,0.005726617190803893,0.12992487722887866,0.010238937463004676,0.510126948046839,0.040293184971348865,0.07156425130237454,0.0031764547852028194,0.27219736459267685,0.010722438617887119,0.3598709295985166,0.014223819894096235,0.7130679515961355,0.02881878253266823,0.1681132948804487,0.008398641986676834,0.7578932979258831,0.020424482391410866,1.2229883241917794,0.08674290073880764,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,6.228573003045187e-05,3.9625707976096253e-05,16187.141376099937,1060.6224879441884,16194.067868901688,1061.2742775233658,"s01,s02,s03",3
