Strategy,val data,val dt,val physics,val ic,weighted val data,weighted val dt,weighted val physics,weighted val ic
Data only,5.739162966583676e-06,0.0067276406022662,0.009716559736332134,6.226900714142231e-05,5.739162966583676e-06,0.0,0.0,0.0
Static tuned,4.982091713037892e-06,0.0008296283839458,0.0015414279571647667,2.648441918762072e-05,4.982091713037892e-06,8.296283839458e-08,1.5414279571647667e-07,2.648441918762072e-08
Static uniform,0.00024040095160413334,0.0003697210680160667,0.003937068739312866,7.723643697577633e-05,0.00024040095160413334,0.0003697210680160667,0.003937068739312866,7.723643697577633e-05
Warmup + static,1.077826316061974e-05,0.0009583268939164667,0.002434152909711867,2.833168288681858e-05,1.077826316061974e-05,9.583268939164668e-08,2.434152909711867e-07,2.8331682886818578e-08
MA,4.651841337589074e-05,0.00016532833204205096,0.004244140428001167,4.5130229668394766e-05,0.0069149734542335245,0.01978637396913412,0.004244140428001167,0.006546884773316275
ID,1.0078180263579192e-05,0.0001377834836758,0.0007581712989672,1.1654910338165127e-05,0.0018700350008575312,0.00776171100048,0.0007581712989672,0.0018961330805361543
DN,1.1023745430553397e-05,0.00010806741497017837,0.0007269454047445666,1.1024804864933687e-05,0.002006995472846214,0.005077196236205806,0.0007269454047445666,0.0016377201051379787
NTK,6.109763452493416e-05,0.000559423854542,0.004277446316760933,8.358234306491883e-05,0.008339810406611607,0.027394197428405365,0.0044344049309739874,0.01172963739431196
