strategy,val_data_loss_mean,val_data_loss_sem,val_dt_loss_mean,val_dt_loss_sem,val_physics_loss_mean,val_physics_loss_sem,val_ic_loss_mean,val_ic_loss_sem,weighted_val_data_loss_mean,weighted_val_data_loss_sem,weighted_val_dt_loss_mean,weighted_val_dt_loss_sem,weighted_val_physics_loss_mean,weighted_val_physics_loss_sem,weighted_val_ic_loss_mean,weighted_val_ic_loss_sem,train_weight_data_mean,train_weight_data_sem,train_weight_dt_mean,train_weight_dt_sem,train_weight_physics_mean,train_weight_physics_sem,train_weight_ic_mean,train_weight_ic_sem,seeds,n_runs
data_only,5.739162966583676e-06,1.949857351565323e-06,0.0067276406022662,0.000786149459197128,0.009716559736332134,0.0037705949767249543,6.226900714142231e-05,1.1142920889689868e-05,5.739162966583676e-06,1.949857351565323e-06,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"s01,s02,s03",3
static_tuned,4.982091713037892e-06,1.2183026512946182e-06,0.0008296283839458,0.00010448378927816611,0.0015414279571647667,0.00036784920827264816,2.648441918762072e-05,9.356294720056356e-06,4.982091713037892e-06,1.2183026512946182e-06,8.296283839458e-08,1.0448378927816609e-08,1.5414279571647667e-07,3.678492082726481e-08,2.648441918762072e-08,9.356294720056358e-09,1.0,0.0,0.0001,0.0,0.0001,0.0,0.001,0.0,"s01,s02,s03",3
static_uniform,0.00024040095160413334,3.971545216412653e-05,0.0003697210680160667,6.344520237024805e-05,0.003937068739312866,0.002115081095660873,7.723643697577633e-05,7.381557579199706e-06,0.00024040095160413334,3.971545216412653e-05,0.0003697210680160667,6.344520237024805e-05,0.003937068739312866,0.002115081095660873,7.723643697577633e-05,7.381557579199706e-06,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,"s01,s02,s03",3
data_warmup_static,1.077826316061974e-05,2.979372575122155e-06,0.0009583268939164667,4.2384328911928346e-05,0.002434152909711867,0.0006484279322761692,2.833168288681858e-05,1.2685660345679975e-06,1.077826316061974e-05,2.979372575122155e-06,9.583268939164668e-08,4.238432891192837e-09,2.434152909711867e-07,6.48427932276169e-08,2.8331682886818578e-08,1.2685660345679964e-09,1.0,0.0,0.0001,0.0,0.0001,0.0,0.001,0.0,"s01,s02,s03",3
ma,4.651841337589074e-05,1.491588137646861e-05,0.00016532833204205096,5.716968499750018e-05,0.004244140428001167,0.0018491882664749013,4.5130229668394766e-05,1.521354339875727e-05,0.0069149734542335245,0.002176650649287685,0.01978637396913412,0.007043882335895494,0.004244140428001167,0.0018491882664749013,0.006546884773316275,0.0022592988270424726,151.1834508768018,6.961718820126825,119.17289090934746,2.0499298005931297,1.0,0.0,146.03804508293305,6.593440821422572,"s01,s02,s03",3
id,1.0078180263579192e-05,1.4813502008920941e-06,0.0001377834836758,1.1828582643214275e-05,0.0007581712989672,0.00042079521605543625,1.1654910338165127e-05,3.42725100599169e-06,0.0018700350008575312,0.0001293893469301424,0.00776171100048,0.0018469389071712275,0.0007581712989672,0.00042079521605543625,0.0018961330805361543,0.0005581970111838807,190.5297338991946,19.992187822788498,56.996195716405474,15.163857532916534,1.0,0.0,170.79796910942525,29.096397619567128,"s01,s02,s03",3
dn,1.1023745430553397e-05,1.5981566285746117e-06,0.00010806741497017837,1.3327157072782898e-05,0.0007269454047445666,0.00021355943060419688,1.1024804864933687e-05,2.882395246703083e-06,0.002006995472846214,0.0003285940524496562,0.005077196236205806,0.00024099379798615068,0.0007269454047445666,0.00021355943060419688,0.0016377201051379787,0.0004133469707078144,181.65081384287555,7.647416226467516,48.40925625593658,6.531528345058812,1.0,0.0,150.04202928222085,3.9581528599391502,"s01,s02,s03",3
ntk,6.109763452493416e-05,4.159299175417546e-05,0.000559423854542,0.00024665139421960967,0.004277446316760933,0.0032395396487369496,8.358234306491883e-05,4.532741493418592e-05,0.008339810406611607,0.005672985110329541,0.027394197428405365,0.01236623959847588,0.0044344049309739874,0.0033570460810484416,0.01172963739431196,0.006297885888155544,135.70132016025417,2.3039631669509983,46.734496028864136,4.251911617382043,1.038031952233309,0.0029568576045317036,135.0647362155949,8.73837843000666,"s01,s02,s03",3
