method,seeds,n,ID MSE,OOD MSE,ID max AE,OOD max AE,ID traj. MSE p95,OOD traj. MSE p95,training time [h],best epoch
Data-only Adam,"s01,s02,s03",3,1.40e-06 +/- 6.52e-08,2.43e-02 +/- 8.72e-04,2.97e-02 +/- 1.60e-03,1.37e+00 +/- 2.39e-02,3.23e-06 +/- 3.11e-08,1.62e-01 +/- 8.95e-03,4.51 +/- 0.19,4583 +/- 217
DN + SSBroyden,"s01,s02,s03",3,3.79e-08 +/- 6.40e-10,1.45e-03 +/- 8.95e-04,2.17e-03 +/- 7.05e-05,8.49e-01 +/- 1.64e-01,1.26e-07 +/- 3.87e-09,1.44e-03 +/- 8.47e-04,2.90 +/- 0.10,5000 +/- 0
SSBroyden,"s01,s02,s03",3,2.32e-08 +/- 2.62e-11,9.86e-05 +/- 2.16e-05,1.78e-03 +/- 6.76e-06,3.38e-01 +/- 6.20e-02,7.91e-08 +/- 4.23e-11,1.17e-04 +/- 2.64e-05,0.58 +/- 0.02,3075 +/- 392
