method,seeds,n,ID MSE,ID RMSE,ID MAE,ID max AE,ID traj. MSE mean,ID traj. MSE p90,ID traj. MSE p95,ID traj. MSE max,OOD MSE,OOD RMSE,OOD MAE,OOD max AE,OOD traj. MSE mean,OOD traj. MSE p90,OOD traj. MSE p95,OOD traj. MSE max,OOD-ID MSE gap,training time [h],best epoch,best val. total loss
Data-only Adam,"s01,s02,s03",3,1.40e-06 +/- 6.52e-08,1.18e-03 +/- 2.74e-05,7.53e-04 +/- 4.18e-05,2.97e-02 +/- 1.60e-03,1.40e-06 +/- 6.52e-08,2.40e-06 +/- 1.16e-07,3.23e-06 +/- 3.11e-08,8.98e-06 +/- 1.75e-06,2.43e-02 +/- 8.72e-04,1.56e-01 +/- 2.78e-03,4.64e-02 +/- 1.14e-03,1.37e+00 +/- 2.39e-02,2.43e-02 +/- 8.72e-04,8.30e-02 +/- 3.42e-03,1.62e-01 +/- 8.95e-03,4.83e-01 +/- 2.02e-02,2.43e-02 +/- 8.72e-04,4.51 +/- 0.19,4583 +/- 217,1.25e-06 +/- 4.86e-08
DN + SSBroyden,"s01,s02,s03",3,3.79e-08 +/- 6.40e-10,1.95e-04 +/- 1.65e-06,8.02e-05 +/- 2.13e-06,2.17e-03 +/- 7.05e-05,3.79e-08 +/- 6.40e-10,1.04e-07 +/- 2.71e-09,1.26e-07 +/- 3.87e-09,2.15e-07 +/- 1.24e-08,1.45e-03 +/- 8.95e-04,3.44e-02 +/- 1.16e-02,4.99e-03 +/- 1.68e-03,8.49e-01 +/- 1.64e-01,1.45e-03 +/- 8.95e-04,1.19e-04 +/- 4.77e-05,1.44e-03 +/- 8.47e-04,1.38e-01 +/- 8.71e-02,1.45e-03 +/- 8.95e-04,2.90 +/- 0.10,5000 +/- 0,2.30e-04 +/- 5.86e-05
SSBroyden,"s01,s02,s03",3,2.32e-08 +/- 2.62e-11,1.52e-04 +/- 8.61e-08,5.78e-05 +/- 2.42e-07,1.78e-03 +/- 6.76e-06,2.32e-08 +/- 2.62e-11,6.30e-08 +/- 9.91e-11,7.91e-08 +/- 4.23e-11,1.36e-07 +/- 3.37e-10,9.86e-05 +/- 2.16e-05,9.81e-03 +/- 1.10e-03,1.36e-03 +/- 9.95e-05,3.38e-01 +/- 6.20e-02,9.86e-05 +/- 2.16e-05,1.60e-05 +/- 5.10e-06,1.17e-04 +/- 2.64e-05,9.85e-03 +/- 2.08e-03,9.86e-05 +/- 2.16e-05,0.58 +/- 0.02,3075 +/- 392,3.30e-08 +/- 2.32e-11
