model_flag,model_label,strategy,strategy_label,strategy_order,best_id_eval_mse_mean,best_id_eval_mse_sem,best_id_eval_rmse_mean,best_id_eval_rmse_sem,best_id_eval_mae_mean,best_id_eval_mae_sem,best_id_eval_max_abs_error_mean,best_id_eval_max_abs_error_sem,best_id_eval_trajectory_mse_mean_mean,best_id_eval_trajectory_mse_mean_sem,best_id_eval_trajectory_mse_p90_mean,best_id_eval_trajectory_mse_p90_sem,best_id_eval_trajectory_mse_p95_mean,best_id_eval_trajectory_mse_p95_sem,best_id_eval_trajectory_mse_max_mean,best_id_eval_trajectory_mse_max_sem,best_ood_eval_mse_mean,best_ood_eval_mse_sem,best_ood_eval_rmse_mean,best_ood_eval_rmse_sem,best_ood_eval_mae_mean,best_ood_eval_mae_sem,best_ood_eval_max_abs_error_mean,best_ood_eval_max_abs_error_sem,best_ood_eval_trajectory_mse_mean_mean,best_ood_eval_trajectory_mse_mean_sem,best_ood_eval_trajectory_mse_p90_mean,best_ood_eval_trajectory_mse_p90_sem,best_ood_eval_trajectory_mse_p95_mean,best_ood_eval_trajectory_mse_p95_sem,best_ood_eval_trajectory_mse_max_mean,best_ood_eval_trajectory_mse_max_sem,best_id_ood_eval_mse_gap_mean,best_id_ood_eval_mse_gap_sem,training_hours_mean,training_hours_sem,best_global_epoch_mean,best_global_epoch_sem,best_val_total_loss_mean,best_val_total_loss_sem,seeds,n_runs
SM4,SM4,data_only_adam_5000,Data-only Adam,0,1.3984094948242818e-06,6.51565297533031e-08,0.0011819070642383465,2.743343150041077e-05,0.0007532143707289556,4.176394954643118e-05,0.02969510845536612,0.0015988536103058901,1.3984094948242818e-06,6.515652975330322e-08,2.3979397311699912e-06,1.1621804698698489e-07,3.226937051299321e-06,3.109459278614713e-08,8.982514144207953e-06,1.7501892531701027e-06,0.024300064661365726,0.0008721909998673066,0.15583505974934644,0.0027837756988798048,0.04639001595856779,0.0011415109036726637,1.37148492785529,0.02391769258497141,0.024300064661365726,0.000872190999867306,0.0829643337477187,0.0034182717149228593,0.16194197113688072,0.008950629729389446,0.482769885810989,0.020242748736499824,0.0242986662518709,0.0008722197598351764,4.509005923504635,0.18662048709774648,4583.333333333333,216.66666666666669,1.2459654070578464e-06,4.860885936968873e-08,"s01,s02,s03",3
SM4,SM4,dn_adam3000_ssbroyden2000,DN + SSBroyden,1,3.792671691096508e-08,6.395235035396117e-10,0.00019473387281982864,1.6485884198136357e-06,8.016192261085046e-05,2.12523716443909e-06,0.0021689865087739144,7.053437619675749e-05,3.7926716910965077e-08,6.395235035396117e-10,1.0350299444787799e-07,2.709082340287399e-09,1.2641022505752346e-07,3.866543405532782e-09,2.147076308364988e-07,1.2360015417863673e-08,0.0014546990230161249,0.0008947758587890929,0.034420107122017235,0.011617987104593107,0.004994551532296146,0.0016793892371599261,0.8490782581665277,0.16415359159023454,0.001454699023016125,0.000894775858789093,0.00011862355202763443,4.766309846999062e-05,0.001435343612595932,0.0008472242560114277,0.1379843061513478,0.08713777016960346,0.001454661096299214,0.0008947753944876871,2.901562845308799,0.10229993431593597,5000.0,0.0,0.0002298396389412442,5.862518922836431e-05,"s01,s02,s03",3
SM4,SM4,ssbroyden_5000,SSBroyden,2,2.323988613914202e-08,2.6249140604365696e-11,0.00015244628991241142,8.611353850489943e-08,5.7804936210018266e-05,2.4204307368613644e-07,0.001784020884047018,6.762772176259216e-06,2.3239886139142025e-08,2.624914060436605e-11,6.301044375325228e-08,9.907488013115877e-11,7.908720125890173e-08,4.226076548468921e-11,1.356940343891865e-07,3.3740960732635084e-10,9.858918517440836e-05,2.159689280036237e-05,0.009807312892566934,0.0010967677515542618,0.0013552728270998255,9.945345728096213e-05,0.33768354782240445,0.061959063237255925,9.858918517440836e-05,2.159689280036237e-05,1.5989533472138828e-05,5.096554947633436e-06,0.00011683398951505897,2.6409199970468496e-05,0.009852658294644311,0.0020839838030916828,9.856594528826923e-05,2.159691378570397e-05,0.5777688806100977,0.019415158662205865,3075.0,392.37524556645184,3.3000653683864104e-08,2.324401688404899e-11,"s01,s02,s03",3
SM6,SM6,data_only_adam_5000,Data-only Adam,0,1.2987009668804995e-06,7.50832104104928e-08,0.0011386756262476644,3.254831078557335e-05,0.0007423631371253253,1.5874712342402374e-05,0.03347328332940014,0.0022171771384614323,1.2987009668804995e-06,7.508321041049287e-08,2.270667327972378e-06,1.9544218122266112e-07,2.837290768587222e-06,3.6934539870174794e-07,6.8614761709353895e-06,4.220496443050878e-07,0.017112623482952432,0.0007743956328193439,0.13074662154118027,0.0029953662981182204,0.038774684468029626,0.0013596508495824528,1.3522737734463606,0.01913357580397672,0.017112623482952432,0.0007743956328193445,0.056744432784757305,0.003175800264684425,0.10437800592244423,0.0016469269489718741,0.3823521268424037,0.026375662671818383,0.017111324781985553,0.0007743463604010357,5.532763527681667,0.24954779945400324,3916.6666666666665,231.54073315749673,1.160847249364595e-06,2.901825438262855e-08,"s01,s02,s03",3
SM6,SM6,dn_adam3000_ssbroyden2000,DN + SSBroyden,1,1.5162550085251885e-08,7.791319132058519e-10,0.00012305370239320786,3.1887625010116337e-06,7.850391334173955e-05,1.8950774804798146e-06,0.0012011046473685376,1.4168853842729173e-05,1.5162550085251885e-08,7.791319132058519e-10,2.7641183383657675e-08,1.5206198582002259e-09,3.3597160596622576e-08,2.668471645353245e-09,8.373141982018221e-08,5.70760636159331e-09,0.0007441109709355279,0.00015781235660837443,0.02692134637167635,0.0031106334139332807,0.0043934398921632025,0.0003882805957027617,0.6832765341301948,0.04724361814567656,0.0007441109709355278,0.0001578123566083744,0.00019608512397446495,4.6376011836339415e-05,0.001419740286676082,0.00039286455075735865,0.05166569570042593,0.01665923976358251,0.0007440958083854426,0.00015781249371011783,3.464971468970837,0.12705796922020365,5000.0,0.0,0.00016035331919550503,1.2052717657365034e-05,"s01,s02,s03",3
SM6,SM6,ssbroyden_5000,SSBroyden,2,5.261609364155263e-09,4.746005609333281e-11,7.253548259382579e-05,3.2644221238935636e-07,3.395568888622977e-05,5.064720854061308e-07,0.0008251053094296598,1.6582976562292857e-06,5.261609364155262e-09,4.746005609333285e-11,1.0574225551940353e-08,3.359198513348964e-11,1.1184488302770297e-08,5.935892399027929e-11,1.703826553400315e-08,8.411286222057874e-10,4.819696240688923e-05,1.2479406271504586e-05,0.006812662722673747,0.0009446134219829728,0.0009286703240384839,0.00012090835025490966,0.31090407057897856,0.014955297541524967,4.819696240688924e-05,1.2479406271504586e-05,6.215534359775467e-06,6.7232425337864e-07,4.349495692932724e-05,5.203282364460221e-06,0.00473657999547946,0.0010986983489462841,4.819170079752508e-05,1.2479451071681878e-05,0.7675275851246207,0.03411078971066594,3491.6666666666665,104.4163673845139,8.47211859135685e-09,6.358579163488266e-11,"s01,s02,s03",3
SM_AVR_GOV,SM9 (AVR/GOV),data_only_adam_5000,Data-only Adam,0,7.698065095240028e-06,6.74211901660444e-07,0.0027691963204979817,0.00012168983889476756,0.0017545335613095684,6.950420287726818e-05,0.053150134785983884,0.0020770837301457993,7.698065095240028e-06,6.742119016604438e-07,1.2879181302059632e-05,1.2116541449552133e-06,1.5327011554853277e-05,1.4441709034788155e-06,2.8764836658964475e-05,4.999223663732335e-06,0.013650347767329518,0.001294449612970649,0.11655744616324819,0.005688124085804507,0.029409487902198578,0.0018934869941225638,2.28395823995252,0.1863622638015541,0.013650347767329518,0.00129444961297065,0.03890972221795281,0.005948958348745009,0.09178273618407716,0.005985083633059621,0.3380453730991891,0.02912246384910429,0.013642649702234276,0.0012943800954718,7.303106881016941,0.20929897813221196,4558.333333333333,180.47006523089763,5.695450481521435e-06,4.4810154179345496e-07,"s01,s02,s03",3
SM_AVR_GOV,SM9 (AVR/GOV),dn_adam3000_ssbroyden2000,DN + SSBroyden,1,6.842097595690827e-07,1.5305236002275272e-08,0.0008270650554166138,9.304667586653012e-06,0.00037723417937384884,7.306671471606621e-06,0.0200768668977697,0.00016790933973626957,6.842097595690827e-07,1.5305236002275272e-08,1.2867362704497467e-06,2.859280481722683e-08,1.788853206456859e-06,1.3583629634318133e-08,7.061706228821665e-06,1.5778476808620213e-07,0.001578256517167854,0.00036101594760847374,0.03915108558940908,0.004767022883237437,0.005099084551177742,0.0003176202047755254,1.7005837117852192,0.26857396750472257,0.001578256517167854,0.00036101594760847374,0.0002726234033246898,2.3846647536101452e-05,0.0027708888490583956,0.00045032033765524343,0.13197613125800695,0.02954458544532152,0.001577572307408285,0.00036101753430163315,4.786073519733413,0.11792104300424075,5000.0,0.0,0.0018278726227260343,9.361251906593085e-05,"s01,s02,s03",3
SM_AVR_GOV,SM9 (AVR/GOV),ssbroyden_5000,SSBroyden (lr=0.1),2,4.631915054368929e-07,1.9431544612175406e-08,0.0006804319366665477,1.4278830522984425e-05,0.00035696107686950754,8.442146897269249e-06,0.02216493654381302,0.00017606974632955463,4.631915054368929e-07,1.9431544612175406e-08,8.208538645425621e-07,1.7257243067432966e-08,1.2551542809755622e-06,1.6897896929670633e-08,7.71245920856182e-06,2.5984137319802453e-07,0.0014439183442781184,0.0007988157236274274,0.03637819189033946,0.010979321430204997,0.004715006666409641,0.0008676448083946877,1.7107635916531292,0.5331781421734254,0.0014439183442781186,0.0007988157236274275,0.0002920855425430829,6.860201960325385e-05,0.0015464758784561718,0.0007213904697709709,0.17690214729271395,0.09999777283220147,0.0014434551527726814,0.0007988351551720396,0.9521307111674914,0.0014796994408081685,5000.0,0.0,4.835831160681613e-07,2.8923754273107678e-08,"s01,s02",2
