method,seeds,n,ID MSE,OOD MSE,ID max AE,OOD max AE,ID traj. MSE p95,OOD traj. MSE p95,training time [h],best epoch
Data-only Adam,"s01,s02,s03",3,1.30e-06 +/- 7.51e-08,1.71e-02 +/- 7.74e-04,3.35e-02 +/- 2.22e-03,1.35e+00 +/- 1.91e-02,2.84e-06 +/- 3.69e-07,1.04e-01 +/- 1.65e-03,5.53 +/- 0.25,3917 +/- 232
DN + SSBroyden,"s01,s02,s03",3,1.52e-08 +/- 7.79e-10,7.44e-04 +/- 1.58e-04,1.20e-03 +/- 1.42e-05,6.83e-01 +/- 4.72e-02,3.36e-08 +/- 2.67e-09,1.42e-03 +/- 3.93e-04,3.46 +/- 0.13,5000 +/- 0
SSBroyden,"s01,s02,s03",3,5.26e-09 +/- 4.75e-11,4.82e-05 +/- 1.25e-05,8.25e-04 +/- 1.66e-06,3.11e-01 +/- 1.50e-02,1.12e-08 +/- 5.94e-11,4.35e-05 +/- 5.20e-06,0.77 +/- 0.03,3492 +/- 104
