model_flag,model_label,strategy,strategy_label,strategy_order,best_id_eval_mse_mean,best_id_eval_mse_sem,best_ood_eval_mse_mean,best_ood_eval_mse_sem,best_id_eval_max_abs_error_mean,best_id_eval_max_abs_error_sem,best_ood_eval_max_abs_error_mean,best_ood_eval_max_abs_error_sem,best_id_eval_trajectory_mse_p95_mean,best_id_eval_trajectory_mse_p95_sem,best_ood_eval_trajectory_mse_p95_mean,best_ood_eval_trajectory_mse_p95_sem,best_id_eval_trajectory_mse_max_mean,best_id_eval_trajectory_mse_max_sem,best_ood_eval_trajectory_mse_max_mean,best_ood_eval_trajectory_mse_max_sem,training_hours_mean,training_hours_sem,best_global_epoch_mean,best_global_epoch_sem,seeds,n_runs
SM4,SM4,data_only_adam_5000,Data-only Adam,0,1.3984094948242818e-06,6.51565297533031e-08,0.024300064661365726,0.0008721909998673066,0.02969510845536612,0.0015988536103058901,1.37148492785529,0.02391769258497141,3.226937051299321e-06,3.109459278614713e-08,0.16194197113688072,0.008950629729389446,8.982514144207953e-06,1.7501892531701027e-06,0.482769885810989,0.020242748736499824,4.509005923504635,0.18662048709774648,4583.333333333333,216.66666666666669,"s01,s02,s03",3
SM4,SM4,dn_adam3000_ssbroyden2000,DN + SSBroyden,1,3.792671691096508e-08,6.395235035396117e-10,0.0014546990230161249,0.0008947758587890929,0.0021689865087739144,7.053437619675749e-05,0.8490782581665277,0.16415359159023454,1.2641022505752346e-07,3.866543405532782e-09,0.001435343612595932,0.0008472242560114277,2.147076308364988e-07,1.2360015417863673e-08,0.1379843061513478,0.08713777016960346,2.901562845308799,0.10229993431593597,5000.0,0.0,"s01,s02,s03",3
SM4,SM4,ssbroyden_5000,SSBroyden,2,2.323988613914202e-08,2.6249140604365696e-11,9.858918517440836e-05,2.159689280036237e-05,0.001784020884047018,6.762772176259216e-06,0.33768354782240445,0.061959063237255925,7.908720125890173e-08,4.226076548468921e-11,0.00011683398951505897,2.6409199970468496e-05,1.356940343891865e-07,3.3740960732635084e-10,0.009852658294644311,0.0020839838030916828,0.5777688806100977,0.019415158662205865,3075.0,392.37524556645184,"s01,s02,s03",3
SM6,SM6,data_only_adam_5000,Data-only Adam,0,1.2987009668804995e-06,7.50832104104928e-08,0.017112623482952432,0.0007743956328193439,0.03347328332940014,0.0022171771384614323,1.3522737734463606,0.01913357580397672,2.837290768587222e-06,3.6934539870174794e-07,0.10437800592244423,0.0016469269489718741,6.8614761709353895e-06,4.220496443050878e-07,0.3823521268424037,0.026375662671818383,5.532763527681667,0.24954779945400324,3916.6666666666665,231.54073315749673,"s01,s02,s03",3
SM6,SM6,dn_adam3000_ssbroyden2000,DN + SSBroyden,1,1.5162550085251885e-08,7.791319132058519e-10,0.0007441109709355279,0.00015781235660837443,0.0012011046473685376,1.4168853842729173e-05,0.6832765341301948,0.04724361814567656,3.3597160596622576e-08,2.668471645353245e-09,0.001419740286676082,0.00039286455075735865,8.373141982018221e-08,5.70760636159331e-09,0.05166569570042593,0.01665923976358251,3.464971468970837,0.12705796922020365,5000.0,0.0,"s01,s02,s03",3
SM6,SM6,ssbroyden_5000,SSBroyden,2,5.261609364155263e-09,4.746005609333281e-11,4.819696240688923e-05,1.2479406271504586e-05,0.0008251053094296598,1.6582976562292857e-06,0.31090407057897856,0.014955297541524967,1.1184488302770297e-08,5.935892399027929e-11,4.349495692932724e-05,5.203282364460221e-06,1.703826553400315e-08,8.411286222057874e-10,0.00473657999547946,0.0010986983489462841,0.7675275851246207,0.03411078971066594,3491.6666666666665,104.4163673845139,"s01,s02,s03",3
SM_AVR_GOV,SM9 (AVR/GOV),data_only_adam_5000,Data-only Adam,0,7.698065095240028e-06,6.74211901660444e-07,0.013650347767329518,0.001294449612970649,0.053150134785983884,0.0020770837301457993,2.28395823995252,0.1863622638015541,1.5327011554853277e-05,1.4441709034788155e-06,0.09178273618407716,0.005985083633059621,2.8764836658964475e-05,4.999223663732335e-06,0.3380453730991891,0.02912246384910429,7.303106881016941,0.20929897813221196,4558.333333333333,180.47006523089763,"s01,s02,s03",3
SM_AVR_GOV,SM9 (AVR/GOV),dn_adam3000_ssbroyden2000,DN + SSBroyden,1,6.842097595690827e-07,1.5305236002275272e-08,0.001578256517167854,0.00036101594760847374,0.0200768668977697,0.00016790933973626957,1.7005837117852192,0.26857396750472257,1.788853206456859e-06,1.3583629634318133e-08,0.0027708888490583956,0.00045032033765524343,7.061706228821665e-06,1.5778476808620213e-07,0.13197613125800695,0.02954458544532152,4.786073519733413,0.11792104300424075,5000.0,0.0,"s01,s02,s03",3
SM_AVR_GOV,SM9 (AVR/GOV),ssbroyden_5000,SSBroyden (lr=0.1),2,4.631915054368929e-07,1.9431544612175406e-08,0.0014439183442781184,0.0007988157236274274,0.02216493654381302,0.00017606974632955463,1.7107635916531292,0.5331781421734254,1.2551542809755622e-06,1.6897896929670633e-08,0.0015464758784561718,0.0007213904697709709,7.71245920856182e-06,2.5984137319802453e-07,0.17690214729271395,0.09999777283220147,0.9521307111674914,0.0014796994408081685,5000.0,0.0,"s01,s02",2
