method,seeds,n,ID MSE,ID RMSE,ID MAE,ID max AE,ID traj. MSE mean,ID traj. MSE p90,ID traj. MSE p95,ID traj. MSE max,OOD MSE,OOD RMSE,OOD MAE,OOD max AE,OOD traj. MSE mean,OOD traj. MSE p90,OOD traj. MSE p95,OOD traj. MSE max,OOD-ID MSE gap,training time [h],best epoch,best val. total loss
Data-only Adam,"s01,s02,s03",3,1.30e-06 +/- 7.51e-08,1.14e-03 +/- 3.25e-05,7.42e-04 +/- 1.59e-05,3.35e-02 +/- 2.22e-03,1.30e-06 +/- 7.51e-08,2.27e-06 +/- 1.95e-07,2.84e-06 +/- 3.69e-07,6.86e-06 +/- 4.22e-07,1.71e-02 +/- 7.74e-04,1.31e-01 +/- 3.00e-03,3.88e-02 +/- 1.36e-03,1.35e+00 +/- 1.91e-02,1.71e-02 +/- 7.74e-04,5.67e-02 +/- 3.18e-03,1.04e-01 +/- 1.65e-03,3.82e-01 +/- 2.64e-02,1.71e-02 +/- 7.74e-04,5.53 +/- 0.25,3917 +/- 232,1.16e-06 +/- 2.90e-08
DN + SSBroyden,"s01,s02,s03",3,1.52e-08 +/- 7.79e-10,1.23e-04 +/- 3.19e-06,7.85e-05 +/- 1.90e-06,1.20e-03 +/- 1.42e-05,1.52e-08 +/- 7.79e-10,2.76e-08 +/- 1.52e-09,3.36e-08 +/- 2.67e-09,8.37e-08 +/- 5.71e-09,7.44e-04 +/- 1.58e-04,2.69e-02 +/- 3.11e-03,4.39e-03 +/- 3.88e-04,6.83e-01 +/- 4.72e-02,7.44e-04 +/- 1.58e-04,1.96e-04 +/- 4.64e-05,1.42e-03 +/- 3.93e-04,5.17e-02 +/- 1.67e-02,7.44e-04 +/- 1.58e-04,3.46 +/- 0.13,5000 +/- 0,1.60e-04 +/- 1.21e-05
SSBroyden,"s01,s02,s03",3,5.26e-09 +/- 4.75e-11,7.25e-05 +/- 3.26e-07,3.40e-05 +/- 5.06e-07,8.25e-04 +/- 1.66e-06,5.26e-09 +/- 4.75e-11,1.06e-08 +/- 3.36e-11,1.12e-08 +/- 5.94e-11,1.70e-08 +/- 8.41e-10,4.82e-05 +/- 1.25e-05,6.81e-03 +/- 9.45e-04,9.29e-04 +/- 1.21e-04,3.11e-01 +/- 1.50e-02,4.82e-05 +/- 1.25e-05,6.22e-06 +/- 6.72e-07,4.35e-05 +/- 5.20e-06,4.74e-03 +/- 1.10e-03,4.82e-05 +/- 1.25e-05,0.77 +/- 0.03,3492 +/- 104,8.47e-09 +/- 6.36e-11
