run_id,method,budget,seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
marker_directed_b1024_s02,marker_directed,b1024,s02,0,64,64,,,,0.22468014061450958,0.8975969552993774,0.4034643769264221,0.6615747213363647,0.42865461111068726,0.8975969552993774,192,,,3,,0.6666666666666666,0.3333333333333333,1.9763681501404546,0.7313990890402234,1.2864926879871632,2.8265964521343654,1.5813239312838419,2.4168117979323283,5.180422273225245,1.9763681501404546,3.405988328909458,,,,,0.0,0.0007429019315168262,4.102070408989675,0.410211062990129,0.0,0.0,4.514278455055319
marker_directed_b1024_s02,marker_directed,b1024,s02,1,128,64,,,,0.36671900749206543,0.9415886402130127,0.586446225643158,0.7212710380554199,0.6050778031349182,0.9415886402130127,192,,,3,,0.6666666666666666,0.3333333333333333,0.9635440985429743,0.4782180297299583,0.7709824265853358,1.2181991327786563,1.0570368235117242,1.4140891388938481,2.0473313321053426,0.9635440985429743,1.4260708208704955,,,,,0.0,0.0007935198955237865,4.013736290973611,0.414056648965925,0.0,0.0,4.429982181056403
marker_directed_b1024_s02,marker_directed,b1024,s02,2,192,64,,,,0.44687122106552124,0.8838320970535278,0.6346750259399414,0.7531486749649048,0.6530131101608276,0.8838320970535278,192,,,3,,0.6666666666666666,0.3333333333333333,0.7669943461417323,0.4285664284840831,0.647199214805673,0.928719216531867,0.9354197286339369,1.1179517092046019,1.6080452182261407,0.7669943461417323,1.1372384049707938,,,,,0.0,0.0008503519929945469,3.9632372679188848,0.41839484206866473,0.0,0.0,4.383798529044725
marker_directed_b1024_s02,marker_directed,b1024,s02,3,256,64,,,,0.053701963275671005,1.0,0.07219196856021881,0.11330375075340271,0.07270871847867966,1.0,192,,,3,,0.6666666666666666,0.3333333333333333,0.8245232419050577,0.3899781457970169,0.5574153620838879,6.883952464866086,0.8398643859972571,0.9675913203657188,7.687079384526564,0.8245232419050577,1.216610274094938,,,,,0.0,0.0007603329140692949,4.023304561036639,0.42623392294626683,0.0,0.0,4.452205577981658
marker_directed_b1024_s02,marker_directed,b1024,s02,4,320,64,,,,0.37877726554870605,0.9599670171737671,0.5153447389602661,0.6187886595726013,0.5225309729576111,0.9599670171737671,192,,,3,,0.6666666666666666,0.3333333333333333,0.5731185480164188,0.3391826813010881,0.4879246658969081,0.8904130924574553,0.7368835038598343,0.8409796865569749,1.2086696885206283,0.5731185480164188,0.8792223641406669,,,,,0.0,0.0007879489567130804,4.05101106793154,0.4315208001062274,0.0,0.0,4.484991799923591
marker_directed_b1024_s02,marker_directed,b1024,s02,5,384,64,,,,0.1333339512348175,1.0,0.18009665608406067,0.21758826076984406,0.18250402808189392,1.0,192,,,3,,0.6666666666666666,0.3333333333333333,0.5372872243578878,0.32133929359514346,0.45574187983459363,2.1572238546069675,0.6905750168013463,0.7643824869785444,2.7680385220972736,0.5372872243578878,0.8096429052804754,,,,,0.0,0.0008249829988926649,4.024718045024201,0.4381051689852029,0.0,0.0,4.465497914934531
marker_directed_b1024_s02,marker_directed,b1024,s02,6,448,64,,,,0.4500027894973755,0.8332515954971313,0.602555513381958,0.7035095691680908,0.6194664239883423,0.8332515954971313,192,,,3,,0.6666666666666666,0.3333333333333333,0.486559302776619,0.2984723189696298,0.4236768400353281,0.626378749758442,0.6475510633613399,0.7134622223575564,0.9776443872998195,0.486559302776619,0.7277322170764904,,,,,0.0,0.0007958919741213322,3.9938671559793875,0.453735375078395,0.0,0.0,4.4509255739394575
marker_directed_b1024_s02,marker_directed,b1024,s02,7,512,64,,,,0.41003113985061646,0.9085391759872437,0.5489738583564758,0.653976321220398,0.5561128854751587,0.9085391759872437,192,,,3,,0.6666666666666666,0.3333333333333333,0.4649828771312669,0.29082869671254613,0.4084971890896441,0.6223687929459473,0.626754856777411,0.6856921196276585,1.054982933693332,0.4649828771312669,0.7241076752168414,,,,,0.0,0.0007703090086579323,4.008479718002491,0.46606711903586984,0.0,0.0,4.4775556470267475
marker_directed_b1024_s02,marker_directed,b1024,s02,8,576,64,,,,0.2926531732082367,1.0,0.38583582639694214,0.46795666217803955,0.39431631565093994,1.0,192,,,3,,0.6666666666666666,0.3333333333333333,0.4664998055992521,0.28202502175556965,0.3980667266562995,0.8994191402367134,0.6047105226916186,0.6597631330736778,1.2060467319657335,0.4664998055992521,0.6951482485336962,,,,,0.0,0.0008433760376647115,4.011958401999436,0.4770589980762452,0.0,0.0,4.492701204027981
marker_directed_b1024_s02,marker_directed,b1024,s02,9,640,64,,,,0.4605295658111572,0.9745360016822815,0.6164078116416931,0.7214881181716919,0.6339157819747925,0.9745360016822815,192,,,3,,0.6666666666666666,0.3333333333333333,0.4369971666108116,0.26844916148382,0.37558454661142054,0.5297764454919746,0.5804918929506484,0.6287994261826051,0.8438225705833029,0.4369971666108116,0.6365712008410166,,,,,0.0,0.00083847192581743,4.027803962933831,0.48527485597878695,0.0,0.0,4.51651457499247
