dataset_id,method,budget,dataset_seed_label,round_idx,train_size_before,selected_count,disagreement_metric,mean_disagreement,max_disagreement,mean_score,max_score,p90_score,selected_mean_score,selected_min_score,selected_max_score,preselect_size,eval_mse,eval_rmse,marker_pca_components,hybrid_marker_pca_components,marker_diversity_weight,marker_sparsity_weight,mean_selected_to_train_distance,mean_marker_diversity,p90_marker_diversity,max_marker_diversity,mean_marker_sparsity,p90_marker_sparsity,max_marker_sparsity,mean_selected_marker_diversity,mean_selected_marker_sparsity,mean_selected_hybrid_diversity,mean_selected_hybrid_sparsity,mean_selected_hybrid_uncertainty,mean_selected_hybrid_score,train_seconds,candidate_generation_seconds,candidate_simulation_seconds,acquisition_seconds,selected_simulation_seconds,eval_seconds,round_seconds
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,0,128,128,member_l2_mean,0.5862026214599609,0.5863919854164124,0.5862026214599609,0.5863919854164124,0.5862677693367004,0.5862939357757568,0.5862206220626831,0.5863919854164124,,0.23635609447956085,0.48616467835452715,,,,,,,,,,,,,,,,,,9.230600601993501,0.0012342979898676276,0.0,2.1802551120053977,0.35988958994857967,0.08715286100050434,12.12535977398511
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,1,256,128,member_l2_mean,0.8723102807998657,0.8736788034439087,0.8723102807998657,0.8736788034439087,0.8726946115493774,0.8728076815605164,0.8724859356880188,0.8736788034439087,,0.25742343068122864,0.5073691266535919,,,,,,,,,,,,,,,,,,13.09501138201449,0.0013823750196024776,0.0,2.183797108998988,0.35492692003026605,0.08609029196668416,15.986729333992116
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,2,384,128,member_l2_mean,1.1694401502609253,1.169844388961792,1.1694401502609253,1.169844388961792,1.169622778892517,1.1696730852127075,1.1695204973220825,1.169844388961792,,0.2560560405254364,0.5060198025032582,,,,,,,,,,,,,,,,,,19.16114397405181,0.0014060069806873798,0.0,2.1765364339808,0.3351378870429471,0.08341249998193234,22.027015815023333
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,3,512,128,member_l2_mean,16.14385223388672,27.769750595092773,16.14385223388672,27.769750595092773,26.355501174926758,27.454105377197266,26.9791316986084,27.769750595092773,,0.11860661208629608,0.34439310690879993,,,,,,,,,,,,,,,,,,25.60559715202544,0.0014206920168362558,0.0,2.3382586970110424,0.3770307850209065,0.08258186798775569,28.67679534299532
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,4,640,128,member_l2_mean,2.4506630897521973,4.585389137268066,2.4506630897521973,4.585389137268066,3.1642863750457764,3.6381030082702637,2.6991944313049316,4.585389137268066,,0.005256769713014364,0.0725035841390918,,,,,,,,,,,,,,,,,,32.19838490500115,0.0014099209802225232,0.0,2.1834322020295076,0.35156740597449243,0.08503872097935528,35.09293138200883
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,5,768,128,member_l2_mean,2.4536821842193604,4.367234706878662,2.4536821842193604,4.367234706878662,3.0563840866088867,3.3082971572875977,2.6454856395721436,4.367234706878662,,0.0034414164256304502,0.05866358688002678,,,,,,,,,,,,,,,,,,38.562649318017066,0.0013214760110713542,0.0,2.187446431024,0.3536430849926546,0.08217667904682457,41.46450708399061
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,6,896,128,member_l2_mean,2.5013267993927,4.469432353973389,2.5013267993927,4.469432353973389,3.226533889770508,3.514651298522949,2.7902729511260986,4.469432353973389,,0.002069937763735652,0.04549656870287749,,,,,,,,,,,,,,,,,,45.365216042031534,0.0012697050115093589,0.0,2.19282681500772,0.355661938956473,0.08075183402979746,48.26658026204677
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,7,1024,128,member_l2_mean,2.059055805206299,3.316018581390381,2.059055805206299,3.316018581390381,2.5347063541412354,2.758423328399658,2.2188029289245605,3.316018581390381,,0.0015467144548892975,0.0393282907699953,,,,,,,,,,,,,,,,,,49.893959465960506,0.0012692890013568103,0.0,2.1584784599835984,0.35344283003360033,0.07728694600518793,52.76034072099719
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,8,1152,128,member_l2_mean,1.7054208517074585,2.959639310836792,1.7054208517074585,2.959639310836792,2.0016543865203857,2.114171028137207,1.840796709060669,2.959639310836792,,0.0011386607075110078,0.03374404699366998,,,,,,,,,,,,,,,,,,57.6473669729894,0.0013790949597023427,0.0,2.1855423009837978,0.3566156179876998,0.07692607399076223,60.549286967027
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,9,1280,128,member_l2_mean,1.4051097631454468,2.556485652923584,1.4051097631454468,2.556485652923584,1.8384078741073608,2.0448789596557617,1.5393342971801758,2.556485652923584,,0.00031976279569789767,0.017881912529086413,,,,,,,,,,,,,,,,,,63.83057083201129,0.0013971009757369757,0.0,2.3331591020105407,0.3601945419795811,0.0788155869813636,66.89095449401066
qbc_deep_ensemble_b4096_s01,qbc_deep_ensemble,b4096,s01,10,1408,128,member_l2_mean,1.0729265213012695,2.394928216934204,1.0729265213012695,2.394928216934204,1.2961230278015137,1.4011589288711548,1.1448224782943726,2.394928216934204,,0.0002462737029418349,0.015693110046827396,,,,,,,,,,,,,,,,,,70.83404248097213,0.0012911909725517035,0.0,2.1842183340340853,0.35443374898750335,0.08261276700068265,73.73088175198063
