supervised_strategy,collocation_strategy,best_id_eval_mse_mean,best_id_eval_mse_sem,best_id_eval_rmse_mean,best_id_eval_rmse_sem,best_id_eval_mae_mean,best_id_eval_mae_sem,best_id_eval_max_abs_error_mean,best_id_eval_max_abs_error_sem,best_id_eval_trajectory_mse_mean_mean,best_id_eval_trajectory_mse_mean_sem,best_id_eval_trajectory_mse_p90_mean,best_id_eval_trajectory_mse_p90_sem,best_id_eval_trajectory_mse_p95_mean,best_id_eval_trajectory_mse_p95_sem,best_id_eval_trajectory_mse_max_mean,best_id_eval_trajectory_mse_max_sem,best_id_eval_trajectory_rmse_mean_mean,best_id_eval_trajectory_rmse_mean_sem,best_id_eval_trajectory_rmse_p90_mean,best_id_eval_trajectory_rmse_p90_sem,best_id_eval_trajectory_rmse_p95_mean,best_id_eval_trajectory_rmse_p95_sem,best_id_eval_trajectory_rmse_max_mean,best_id_eval_trajectory_rmse_max_sem,best_id_eval_trajectory_max_abs_error_mean_mean,best_id_eval_trajectory_max_abs_error_mean_sem,best_id_eval_trajectory_max_abs_error_p95_mean,best_id_eval_trajectory_max_abs_error_p95_sem,best_id_eval_trajectory_max_abs_error_max_mean,best_id_eval_trajectory_max_abs_error_max_sem,best_id_eval_n_rows_mean,best_id_eval_n_rows_sem,best_id_eval_n_trajectories_mean,best_id_eval_n_trajectories_sem,best_ood_eval_mse_mean,best_ood_eval_mse_sem,best_ood_eval_rmse_mean,best_ood_eval_rmse_sem,best_ood_eval_mae_mean,best_ood_eval_mae_sem,best_ood_eval_max_abs_error_mean,best_ood_eval_max_abs_error_sem,best_ood_eval_trajectory_mse_mean_mean,best_ood_eval_trajectory_mse_mean_sem,best_ood_eval_trajectory_mse_p90_mean,best_ood_eval_trajectory_mse_p90_sem,best_ood_eval_trajectory_mse_p95_mean,best_ood_eval_trajectory_mse_p95_sem,best_ood_eval_trajectory_mse_max_mean,best_ood_eval_trajectory_mse_max_sem,best_ood_eval_trajectory_rmse_mean_mean,best_ood_eval_trajectory_rmse_mean_sem,best_ood_eval_trajectory_rmse_p90_mean,best_ood_eval_trajectory_rmse_p90_sem,best_ood_eval_trajectory_rmse_p95_mean,best_ood_eval_trajectory_rmse_p95_sem,best_ood_eval_trajectory_rmse_max_mean,best_ood_eval_trajectory_rmse_max_sem,best_ood_eval_trajectory_max_abs_error_mean_mean,best_ood_eval_trajectory_max_abs_error_mean_sem,best_ood_eval_trajectory_max_abs_error_p95_mean,best_ood_eval_trajectory_max_abs_error_p95_sem,best_ood_eval_trajectory_max_abs_error_max_mean,best_ood_eval_trajectory_max_abs_error_max_sem,best_ood_eval_n_rows_before_filter_mean,best_ood_eval_n_rows_before_filter_sem,best_ood_eval_n_trajectories_before_filter_mean,best_ood_eval_n_trajectories_before_filter_sem,best_ood_eval_n_rows_mean,best_ood_eval_n_rows_sem,best_ood_eval_n_trajectories_mean,best_ood_eval_n_trajectories_sem,best_test_mse_mean,best_test_mse_sem,best_test_mae_mean,best_test_mae_sem,final_test_mse_mean,final_test_mse_sem,final_val_mse_mean,final_val_mse_sem,final_train_mse_mean,final_train_mse_sem,final_train_total_loss_mean,final_train_total_loss_sem,final_train_data_loss_mean,final_train_data_loss_sem,final_train_physics_loss_mean,final_train_physics_loss_sem,final_train_dt_loss_mean,final_train_dt_loss_sem,final_train_ic_loss_mean,final_train_ic_loss_sem,total_seconds_mean,total_seconds_sem,training_seconds_mean,training_seconds_sem,best_checkpoint_epoch_mean,best_checkpoint_epoch_sem,supervised_active_trajectories_mean,supervised_active_trajectories_sem,supervised_acquisition_count_mean,supervised_acquisition_count_sem,num_supervised_rows_mean,num_supervised_rows_sem,num_collocation_rows_mean,num_collocation_rows_sem,seeds,n_runs
fixed_low,static_low,7.3021767485504665e-06,2.862044935051239e-07,0.0027012301398470872,5.259505743010331e-05,0.0015713064697646338,1.7549345996191368e-05,0.06096032380124009,0.015120613775095331,7.3021767485504665e-06,2.862044935051245e-07,1.4230256671088693e-05,2.234482407811153e-06,2.245586313857678e-05,3.7691982980786214e-06,0.0002577486630823307,0.00010723746062048605,0.002297363542371426,6.649409121538724e-05,0.0037492648318003577,0.0002943357543475513,0.004701697913516251,0.0004180880673123357,0.015421959791935983,0.003155298659258785,0.00957659985716872,0.0003187307824070421,0.02042596243085808,0.0008637707103409495,0.05969193414103665,0.016060603134594197,409409.0,0.0,409.0,0.0,0.03128899862165615,0.0016082209576841317,0.1767728343745029,0.004492418550219933,0.05762129061081317,0.0018873982929560802,1.527168083405763,0.0842440352528101,0.03128899862165615,0.0016082209576841302,0.11298123790671222,0.007521629686106306,0.1927719542758469,0.010324437042014559,0.5962442596736136,0.020708237832167974,0.08795832062448582,0.0030732474606536987,0.3357601032788568,0.011087865890771677,0.4387287712200787,0.011660731189307941,0.7719344126661731,0.013444742752168684,0.20259794822842603,0.007816622824733168,0.8506435417722594,0.02544231273527543,1.5064263751723346,0.10203810574373003,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,6.885003451368647e-06,7.337254794376853e-07,0.0015506237273106667,2.568410486554644e-05,1.5280412284640773e-05,5.08857870344802e-06,1.603011996753756e-05,5.393997618561553e-06,1.5066804961080554e-05,4.872882019766751e-06,6.347357554128493e-06,2.0989205894448896e-06,6.107458796770639e-06,2.109588953757248e-06,0.0012764501187751333,0.00012754659076171844,0.0007531916195730667,0.00012525420962024363,3.6934583523025e-05,2.8603982706929742e-06,4852.047500043999,266.8705109629272,4834.292841578999,271.917570008709,2916.6666666666665,1238.1381631753022,256.0,0.0,0.0,0.0,256256.0,0.0,4096.0,0.0,"s01,s02,s03",3
fixed_low,rar_d_growth,5.430395568359294e-06,9.79283307810278e-08,0.0023301330710078084,2.092175608085672e-05,0.0013788905990716985,7.500340026288679e-05,0.05593493592619325,0.009904519043661285,5.430395568359294e-06,9.792833078102783e-08,9.750992376025256e-06,1.5897113867176876e-06,1.5718620772630858e-05,6.605191871216654e-07,0.00017680209890881407,4.702505436081289e-05,0.001970931063465189,8.130697471209718e-05,0.0031025534756010643,0.000249783976744659,0.003962813561998437,8.327720662077847e-05,0.013009064644649827,0.0019450367580248938,0.007847702864546864,0.0006695796459807286,0.01635093350750215,0.0015126390116691783,0.05170204473882645,0.009816157620420483,409409.0,0.0,409.0,0.0,0.029516146709332666,0.00047678851002429956,0.17179146306645088,0.0013856274428769057,0.05651452588640147,0.00032243774020451353,1.4910029585487645,0.02227185086575696,0.02951614670933266,0.00047678851002430064,0.10582936209505049,0.0026593599223578616,0.17551635984271854,0.011977471853372609,0.5496781009652947,0.015034300058439509,0.08457467003367906,0.0005262305437395701,0.32523686314563194,0.0040761697369876265,0.4183774218303427,0.01426829058201972,0.7412656880215795,0.010081684561343758,0.18818161870613748,0.002481061618691202,0.823583423309508,0.020696697533959987,1.361325119270066,0.056308482187346,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,5.289172241335631e-06,1.8575542260179415e-07,0.0013880459030097,7.311668909338923e-05,1.3166135818656639e-05,4.081559250053591e-06,1.3104910744521177e-05,4.332398847905167e-06,1.2574752083147912e-05,4.086964909474354e-06,4.3698320475147275e-06,2.0907477482866827e-06,4.064807031933869e-06,2.0732638395389797e-06,0.0025034827142687336,0.00018322041706479066,0.0002746171903723667,1.5830111203589884e-05,2.721502511673812e-05,4.909496494218161e-06,4830.297631828666,253.59574175967893,4822.957097348665,253.7038870190181,1575.0,614.5798022497431,256.0,0.0,0.0,0.0,256256.0,0.0,4096.0,0.0,"s01,s02,s03",3
random_growth,static_low,1.9672498038568495e-06,1.6798231939960356e-07,0.0013999317883409597,6.099504836186141e-05,0.0008320400053053587,4.711188578196457e-05,0.03640640175684643,0.007021192212293607,1.9672498038568495e-06,1.6798231939960348e-07,3.990143351641968e-06,3.764808954480821e-07,6.185753261732644e-06,5.749293337081794e-07,2.957397643003215e-05,3.869043110779649e-06,0.0012476547693627508,5.7462262063007e-05,0.001992821231439686,9.682501478269554e-05,0.0024813453479903863,0.00011830033659661869,0.005413311082225464,0.0003674503756203845,0.005945873849594178,0.0002050501173899284,0.013537123643268346,0.0009446835874928147,0.03100703133572406,0.007862072938763068,409409.0,0.0,409.0,0.0,0.027191322925400028,0.0016023048306806982,0.1647566049826237,0.004826180684543782,0.05185734790192111,0.0017601809261612283,1.4034606336872424,0.08355125008297377,0.027191322925400028,0.001602304830680698,0.09408763684396693,0.00800323734076098,0.17184468743099598,0.011296683509638911,0.5146874870880757,0.02157753430050662,0.07932876692560945,0.0024901599281241015,0.3061580944887305,0.013300531862093607,0.4140929338808384,0.013420956215528837,0.7170984068268752,0.015122202459184341,0.18212203033471727,0.004872643938660476,0.8131045264556124,0.01115008800344927,1.3441850978749497,0.11377742006831651,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.1725052328732747e-06,1.7536645679096235e-07,0.0008594238588928,4.7565735322376715e-05,6.887744534954979e-06,2.2230485725379444e-06,6.983761881274925e-06,2.384533224911292e-06,6.862380553873635e-06,2.2872659250126556e-06,4.3996112611495295e-06,1.5769587242904149e-06,4.230352981352696e-06,1.5695229495689055e-06,0.0008899865535723,0.0001048822335342504,0.0006004013639714,4.688948503301059e-05,2.0219488042454358e-05,1.9182733848375143e-06,7006.367673189004,59.90660251519093,6998.046678746335,61.46262897216678,4791.666666666667,79.49493345141215,512.0,0.0,8.0,0.0,512512.0,0.0,4096.0,0.0,"s01,s02,s03",3
random_growth,rar_d_growth,1.7723889006348293e-06,7.404891639296565e-08,0.0013307362226578575,2.7658690687794357e-05,0.000810666756087893,2.740355411135954e-05,0.037678471769962085,0.00892273884575081,1.7723889006348293e-06,7.404891639296545e-08,3.509339319784938e-06,2.356114850528279e-07,5.384382669285962e-06,2.888642501186945e-07,2.5023535814653613e-05,3.628799745670361e-06,0.0011973031716244703,3.181050769197192e-05,0.0018711634333943227,6.346618433056006e-05,0.00231866406018199,6.269538051005769e-05,0.004977489684231063,0.0003522302216072297,0.0053474265148026915,0.00014755997653626357,0.011703355768867737,0.0006576307564118217,0.03587718674467699,0.010639161243928533,409409.0,0.0,409.0,0.0,0.025131954777871987,0.0005861276416609777,0.15850915215225203,0.0018443781941615066,0.04897231035207611,0.0009301104691202416,1.3837715044739587,0.046823551083698664,0.02513195477787199,0.0005861276416609801,0.08709747768959951,0.005282009496935423,0.16484959996146725,0.0018452912997326306,0.4705553515768511,0.02137184790406504,0.07546827841427044,0.0010687836674901903,0.29485548894710983,0.00886928750628902,0.4059932049424204,0.00227365540334679,0.6856095262421115,0.01573100605363017,0.17423690498936603,0.001211894217467729,0.8113831362279532,0.002204909376526514,1.2914651474156533,0.08682300996645222,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,1.8634428819303882e-06,3.163892833118114e-08,0.0008335438578379999,2.3831889787073932e-05,4.5991667415585415e-06,9.039837420376277e-07,4.546158557648154e-06,1.0006493307836364e-06,4.358265725822772e-06,7.873926988629852e-07,7.847774052596218e-06,2.3747824176831865e-06,7.418876288641792e-06,2.240577415207321e-06,0.0034783694675154,0.0011026323746015864,0.0004912708525744,0.0001888071603378159,3.1933731945434866e-05,1.083422108898526e-05,6935.126291598,20.017699936173653,6927.852320853669,19.89548452470629,4641.666666666667,144.57792977414562,512.0,0.0,8.0,0.0,512512.0,0.0,4096.0,0.0,"s01,s02,s03",3
mae_nearest_growth,static_low,2.63974549159712e-06,1.7311526736200337e-07,0.0016229690065241045,5.3465388146355745e-05,0.0009900733708984011,5.607648266934764e-05,0.04813008408725435,0.014048491802536313,2.6397454915971204e-06,1.731152673620035e-07,5.257778405035317e-06,3.37456877222725e-07,7.578522965838066e-06,6.141229876601219e-07,5.971192209853777e-05,1.6742937925629507e-05,0.0014352137526906386,4.868629917986406e-05,0.0022906815511886066,7.263348282060627e-05,0.002748291785029807,0.00011224107391693347,0.007536279264209115,0.0012075630315618105,0.0066322077282391645,0.00015639444377427955,0.014530456247457635,0.000612967717633733,0.038850874510853124,0.018300472001753557,409409.0,0.0,409.0,0.0,0.02726898538240205,0.001052768271887099,0.16507223463320161,0.00317354183864757,0.051980686235025435,0.0012412244317944574,1.4618579615848981,0.037302831154465844,0.02726898538240206,0.001052768271887099,0.09697751765023675,0.0045883665721688895,0.1727979002198995,0.008807164271950843,0.4982696509224122,0.009639565581664617,0.07941615524463096,0.0016692695778237347,0.3112401713255579,0.0072856146945916855,0.4154208193044869,0.010554609912554472,0.7058167380572739,0.0067964402668593766,0.186289042722569,0.002826384484015173,0.8127770709851054,0.011619855621220036,1.288505865528582,0.09724376091583123,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.6117787641799155e-06,1.1694135530707822e-07,0.0009847730404971666,4.222815374279018e-05,4.434046303412768e-06,6.876875305485275e-07,4.5762387840215904e-06,3.1401564116513206e-07,4.229694131680294e-06,5.628626405823423e-07,5.114519081563846e-06,2.1212088004133345e-07,4.961152507425941e-06,2.11095151914652e-07,0.0007684986837145333,1.5552072719113276e-05,0.0005465733003133334,2.1213720903834416e-05,2.185937573511168e-05,1.5588993492252363e-06,6958.981475921001,17.862567572114163,6952.292151700999,18.013767255667997,4741.666666666667,121.04865871944959,512.0,0.0,8.0,0.0,512512.0,0.0,4096.0,0.0,"s01,s02,s03",3
mae_nearest_growth,rar_d_growth,2.4822516725220878e-06,1.5505938412338065e-07,0.0015739254317728723,5.005201165120648e-05,0.0009545428774126863,8.794757405746854e-06,0.04411218440340181,0.0069381977995389595,2.4822516725220874e-06,1.550593841233805e-07,5.046560732782064e-06,3.2082762813665825e-07,7.500666064690729e-06,5.891525262653339e-07,4.0873130091598924e-05,1.0424934555925708e-05,0.0014010199036980813,2.9356944383165837e-05,0.002244074539199424,7.262167923334639e-05,0.002733933352258464,0.00010882174011376027,0.0062736025133348595,0.0008703567074129572,0.006022850018633626,0.00037038339379273123,0.013318223136224957,0.0007195504201570536,0.03262859090711744,0.011907503166762234,409409.0,0.0,409.0,0.0,0.026199904302318906,0.00042461914450622957,0.16185329955294547,0.0013064696979668761,0.050769377067554106,0.000744790964864533,1.403647667802615,0.04101209191801819,0.026199904302318906,0.00042461914450622957,0.09097137652860492,0.0025188237882735353,0.16661812621746824,0.006623044014891829,0.4852789780113104,0.017152391572912137,0.07764664601775396,0.0007588999844889434,0.3015350133377139,0.004193634972093609,0.40802053750815565,0.008196991144173677,0.6963990596615189,0.012396122657157496,0.17671301001539166,0.0036254742561186186,0.812322057248894,0.013790510965311588,1.2423239542777027,0.07942877313906753,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.50866606423128e-06,1.4009596656068435e-07,0.0009586823772852333,1.2805877650305092e-05,9.77648204411637e-06,6.403450132293609e-07,9.708690027443378e-06,8.916736077632899e-07,9.606226616786542e-06,6.619036439111326e-07,7.482421824222382e-06,1.0863932078034829e-06,7.1109909885682635e-06,1.0657231060840174e-06,0.0030344268509112336,0.00018978061023379206,0.00039527238751803335,5.093964947521772e-05,2.8460911811180405e-05,4.317884216079849e-06,6974.346135589,73.41912184406354,6967.624171361337,73.74919609732707,4525.0,160.72751268321593,512.0,0.0,8.0,0.0,512512.0,0.0,4096.0,0.0,"s01,s02,s03",3
fixed_final,static_low,2.047201349969962e-06,1.7513307142093316e-07,0.0014281456822612826,6.164925063785473e-05,0.0008375742146296499,4.629478718480356e-05,0.038420836106754286,0.005191861546963883,2.047201349969962e-06,1.7513307142093303e-07,4.134065129988176e-06,4.3257581447114395e-07,6.198305485944192e-06,7.467598732020802e-07,2.833346440620945e-05,3.9864113503980745e-06,0.0012746790642148358,6.530300119662629e-05,0.002027747845515824,0.0001054635081332887,0.002480376194394478,0.00014990553313260014,0.005294649876971168,0.00038739326691273327,0.00623911037987038,0.0002909858449615232,0.013781991468296076,0.0006779107919336594,0.031647376143713636,0.009404162730965551,409409.0,0.0,409.0,0.0,0.026963116703569046,0.0009186279681342209,0.16415636182309798,0.002811189834677508,0.05204843312853976,0.0008550978238238267,1.432193473438579,0.006254859106348148,0.026963116703569046,0.0009186279681342222,0.09476059943634567,0.0031437704095037136,0.17111316774796292,0.009593616418065248,0.5104643161842004,0.014208158962210232,0.07908498425605119,0.0017569955356578847,0.3077188810105172,0.005120261891787182,0.4132439442980366,0.011576604772114332,0.7143308136487835,0.009894565580846853,0.1835999262151773,0.003488713933922007,0.814305766109194,0.00557666491983882,1.3018648641245891,0.07152094443895295,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.213124475974899e-06,2.7066655769961944e-07,0.0008570886492415001,5.693342611185553e-05,4.881387421312157e-06,1.4891499925428682e-06,5.2261761511488165e-06,1.5764968520128678e-06,4.6738748524308e-06,1.4047405395684617e-06,6.2146661914932475e-06,1.2029803190884196e-07,6.060622660748193e-06,1.1054553697498733e-07,0.0007792871381803666,8.024545066276548e-05,0.0005394906412953,3.7477606796014227e-05,2.2165752797473933e-05,1.949976466646342e-06,9455.104939810333,575.397690686515,9448.181936675,575.0521106651953,2600.0,288.3140648667699,512.0,0.0,0.0,0.0,512512.0,0.0,4096.0,0.0,"s01,s02,s03",3
fixed_final,rar_d_growth,1.9241586064523348e-06,9.023715006284892e-08,0.0013863681242382783,3.272636970680261e-05,0.000865440047424929,3.5111459303305495e-05,0.023051194935350166,0.0021639940807590893,1.9241586064523348e-06,9.0237150062849e-08,3.691174619304345e-06,2.6243682337988425e-07,5.734540122716312e-06,8.78259930707134e-07,2.517214879322754e-05,6.135640434734689e-06,0.001256164575129081,3.968714788793957e-05,0.0019188443751549545,6.783888912007261e-05,0.002381147795237686,0.0001790033840381046,0.004927693590846541,0.0006670774572557009,0.0051841370535315266,0.00015086500569765985,0.010815575017746867,0.0001905168223923285,0.01297170121983541,0.0017322261384315725,409409.0,0.0,409.0,0.0,0.02519766794275451,0.0014568979761797024,0.15860804198560305,0.004536350970091337,0.04952039580705831,0.0018111198385201905,1.3701159073733962,0.04826619469369518,0.02519766794275451,0.0014568979761797026,0.08875310895652393,0.007204615610501776,0.15985901336668523,0.01166020617252678,0.4762439926961559,0.011920725925803984,0.07577079807168814,0.0025593756132122254,0.29743965644712583,0.011877740962320546,0.39928131609257456,0.014632424753668528,0.689997469095403,0.008587355183468846,0.1709755272230854,0.004959453033304217,0.7839796672642846,0.020109292987311227,1.1432938673105253,0.04170715847597054,409409.0,0.0,409.0,0.0,368368.0,0.0,368.0,0.0,2.0463448534209595e-06,1.6760311372108114e-07,0.0008746020810356334,3.6483299043097986e-05,6.03471959824722e-06,1.7666432182719385e-06,6.187308261534306e-06,1.7694908241685895e-06,5.652947680942128e-06,1.747946116894049e-06,5.3290013432665685e-06,1.2399724594014156e-06,4.933916024850162e-06,1.303646971948646e-06,0.0032292979658826997,0.0005045913896890905,0.00045673496017220003,0.0001591199972284779,2.6482025810904502e-05,3.669626068533717e-06,9099.249541955001,135.62301271695173,9092.41588372933,135.5777185776148,4475.0,142.15601757693318,512.0,0.0,0.0,0.0,512512.0,0.0,4096.0,0.0,"s01,s02,s03",3
