workflow_id,workflow_version,method,model_flag,preset,stage,stage_role,stage_root,budget,objective_metric,objective_direction,config_group_id,rank,is_winner,is_shortlisted,n_dataset_seeds,dataset_seeds,member_cfg_ids,member_statuses,all_completed,objective_mean,objective_std,objective_min,objective_max,mean_final_round_seconds,mean_final_train_seconds,mean_final_candidate_generation_seconds,mean_final_candidate_simulation_seconds,mean_final_acquisition_seconds,mean_final_selected_simulation_seconds,mean_final_eval_seconds,active.marker.pca_explained_variance,active.marker.k_density,active.marker.preselect_factor,active.marker.greedy_score_weight,active.marker.weights.diversity,active.marker.weights.sparsity
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_aae8f18214,11,False,False,3,s01;;s02;;s03,cfg_00033_91a896fb25;;cfg_00081_c11322b21e;;cfg_00129_47a86884e6,completed,True,0.007576788134395909,0.0007031846666921042,0.006831337613684519,0.008519540283665335,25.773519929653656,19.479349654323112,0.0008285149621466795,5.597518953999194,0.6675103056865433,0.0,0.02373467234428972,0.95,10,5,0.9,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_9963c42126,12,False,False,3,s01;;s02;;s03,cfg_00013_3fcfd41d12;;cfg_00061_7cf6492bc0;;cfg_00109_181da3a3ff,completed,True,0.007588957122379708,0.0001572683047174563,0.007379933630013169,0.007759285767853552,25.94304989433537,19.723084975305635,0.0008159783125544587,5.607057262018013,0.5853595519826437,0.0,0.022249508687915902,0.9,20,3,0.7,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_feb85700bb,13,False,False,3,s01;;s02;;s03,cfg_00002_de025da292;;cfg_00050_c3afd75c12;;cfg_00098_8c3ac4066b,completed,True,0.007603069533940178,0.0009855737822478477,0.006698924200569078,0.008973795798283158,25.825225644977763,19.627004226320423,0.0008271710248664021,5.588435508000354,0.5808525022972996,0.0,0.023720095322156947,0.9,10,3,0.7,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_c76afea410,14,False,False,3,s01;;s02;;s03,cfg_00000_91a9696479;;cfg_00048_99d4bb5aa7;;cfg_00096_bf91838d09,completed,True,0.007612724316708081,0.0009872979430642589,0.006542837485021541,0.00892461204722659,25.75312728768525,19.514443829966087,0.0008193560255070528,5.626563803331616,0.5831665279886996,0.0,0.02345494832843542,0.9,10,3,0.7,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_4128e2a65a,15,False,False,3,s01;;s02;;s03,cfg_00026_770ac97fd4;;cfg_00074_b7dab6b0af;;cfg_00122_23ab5b3fdb,completed,True,0.0076167129416683955,0.000787004732635751,0.006987283213133905,0.008726367008902983,25.74125864364517,19.518553737939026,0.0008165396672363082,5.611317244319555,0.5823539563377077,0.0,0.02361507504247129,0.95,10,3,0.7,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_e4c1d2463c,16,False,False,3,s01;;s02;;s03,cfg_00042_eff8b4eafb;;cfg_00090_da99ca1fcf;;cfg_00138_422c20a8c0,completed,True,0.0076252721974551015,0.0005328095132582239,0.006873355947538133,0.008043602848427513,26.090282731340267,19.775600425006512,0.0008181409987931451,5.614602668016839,0.6698670863406733,0.0,0.024763566597054403,0.95,20,5,0.7,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_5190e71545,17,False,False,3,s01;;s02;;s03,cfg_00034_92accc25ce;;cfg_00082_df23d35b87;;cfg_00130_e7828c616e,completed,True,0.007630565195367377,0.00027897216577708585,0.007387171596812389,0.008021163223824615,25.887957892303046,19.617693032991763,0.0008871026802808046,5.574492028371121,0.6660636132971073,0.0,0.02417840265358488,0.95,10,5,0.9,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_f8e79fae61,18,False,False,3,s01;;s02;;s03,cfg_00003_70fcf57679;;cfg_00051_82482996bc;;cfg_00099_6e66a76f46,completed,True,0.007639579709388513,0.0005198918940737399,0.007050940865634492,0.008315421877642877,25.932506204699166,19.72054536299159,0.0008057896823932728,5.603523426339962,0.578647010299998,0.0,0.02448997499110798,0.9,10,3,0.9,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_fa78bea9c7,19,False,False,3,s01;;s02;;s03,cfg_00008_e8a2996014;;cfg_00056_44c4a5c01f;;cfg_00104_47715fbed1,completed,True,0.00765687727713686,0.0004081877293388098,0.007269189909614256,0.008221125756185298,26.007976045599207,19.71259777197459,0.000841766013763845,5.601224081357941,0.6640208236252269,0.0,0.02480941735363255,0.9,10,5,0.7,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_f3b4eccc6f,20,False,False,3,s01;;s02;;s03,cfg_00045_1281a08028;;cfg_00093_7731db139f;;cfg_00141_ca86c0963c,completed,True,0.007674595778784881,0.0009123268262010641,0.006891154001647865,0.008954108643599207,25.910020734299906,19.600877469056286,0.0008119406411424279,5.608508201665245,0.6717348127082611,0.0,0.023569946992211044,0.95,20,5,0.9,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_e0f4f66f5f,21,False,False,3,s01;;s02;;s03,cfg_00005_1bbf6f3a14;;cfg_00053_a1bdad3d0f;;cfg_00101_2c2cc5990b,completed,True,0.007706249257366224,0.0007129614783831958,0.00670023096892701,0.008267709295350641,25.790361439304736,19.599410474688437,0.000837603312296172,5.5814847173169255,0.5793038629926741,0.0,0.0247392839519307,0.9,10,3,0.9,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_752038277d,22,False,False,3,s01;;s02;;s03,cfg_00047_00943a7843;;cfg_00095_5edcf705ad;;cfg_00143_72e7b1bdf4,completed,True,0.007722161552860982,0.0007215184697328309,0.007132675257663057,0.008738197140513753,25.945394296975184,19.63807819900103,0.0008102970120186607,5.6100317143136635,0.667763975642932,0.0,0.024063735307815175,0.95,20,5,0.9,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_88b0ecf6b8,23,False,False,3,s01;;s02;;s03,cfg_00031_9c70c2f046;;cfg_00079_a1c371a5d5;;cfg_00127_577d0e2220,completed,True,0.0077708480045304415,0.00047134700957007786,0.007306631151280893,0.008417237784845311,25.854727259643067,19.572301212038536,0.0008407436156024536,5.585779452696443,0.667633141313369,0.0,0.023577366683942575,0.95,10,5,0.7,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_c189d6b268,24,False,False,3,s01;;s02;;s03,cfg_00029_2a3e4ccce2;;cfg_00077_25f30c3944;;cfg_00125_2a7de2a559,completed,True,0.007777687047333855,0.0011389368783177804,0.00670023096892701,0.009353276754512559,25.86866475897841,19.64828793432874,0.0008577442883203427,5.608126263677453,0.5829725813431045,0.0,0.023832480306737125,0.95,10,3,0.9,0.8,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_c4b54eb34c,25,False,False,3,s01;;s02;;s03,cfg_00030_6016ce5503;;cfg_00078_aab05692ef;;cfg_00126_db13b60d05,completed,True,0.007779178131757165,0.0006688427171492297,0.007195773728269919,0.008715671266221709,25.937077673656557,19.629608079674654,0.0008298923494294286,5.608089386291492,0.6699250142943735,0.0,0.024016019655391574,0.95,10,5,0.7,0.4,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_b3b27aa183,26,False,False,3,s01;;s02;;s03,cfg_00028_4563d58a98;;cfg_00076_82f8689441;;cfg_00124_32f7b6934c,completed,True,0.007828714591412963,0.00044559323689840523,0.007213733233971301,0.008255278552837367,25.752036831962567,19.53374923299998,0.0008629293491442999,5.606537627677123,0.5816222573242461,0.0,0.02469623798970133,0.95,10,3,0.9,0.6,0.4
marker_directed_sm4_v1,1,marker_directed,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/marker_directed/stage1_policy_search/marker_directed_policy_search_20260302_112434,b1024,final_eval_rmse,minimize,grp_ab473509be,27,False,False,3,s01;;s02;;s03,cfg_00010_6330521a2d;;cfg_00058_56ded344fe;;cfg_00106_5f1358d386,completed,True,0.007843840119504095,0.000314102501094141,0.0074833607654651284,0.008248872030095224,25.827501404642437,19.531764144659974,0.0008072006360938152,5.6004127686610445,0.6649157506568978,0.0,0.024817877681925893,0.9,10,5,0.9,0.6,0.4
