workflow_id,workflow_version,method,model_flag,preset,stage,stage_role,stage_root,budget,objective_metric,objective_direction,config_group_id,rank,is_winner,is_shortlisted,n_dataset_seeds,dataset_seeds,member_cfg_ids,member_statuses,all_completed,objective_mean,objective_std,objective_min,objective_max,mean_final_round_seconds,mean_final_train_seconds,mean_final_candidate_generation_seconds,mean_final_candidate_simulation_seconds,mean_final_acquisition_seconds,mean_final_selected_simulation_seconds,mean_final_eval_seconds,qbc_M,active.disagreement.metric,active.diversity.preselect_factor,active.diversity.uncertainty_weight,active.diversity.distance_weight
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_2159097e09,1,True,True,3,s01;;s02;;s03,cfg_00012_402e87f983;;cfg_00028_71cdff9ffe;;cfg_00044_43f265b26b,completed,True,0.005789165579939804,0.00012922761183866514,0.005671007783737835,0.005968986827238606,30.31566741662876,29.34686849832845,0.0010517983076473076,0.0,0.62356885165597,0.17541703733149916,0.035388395694705345,5,member_l2_mean,3,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_904772b442,2,False,True,3,s01;;s02;;s03,cfg_00010_2c29e69ca2;;cfg_00026_27f13cedf1;;cfg_00042_b783ad81c5,completed,True,0.005849244375028335,6.18977961048035e-05,0.005786543378367639,0.005933495199513294,30.12988669301073,29.202938911000576,0.0010354133555665612,0.0,0.5762682243560752,0.18094874864133695,0.0348344196487839,5,variance_mean,5,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_d76e20e0de,3,False,True,3,s01;;s02;;s03,cfg_00004_87945ca465;;cfg_00020_33e3aed9b3;;cfg_00036_6a7c651b9f,completed,True,0.005896861574728553,0.00029869664390764876,0.0054888620683856875,0.006195633843644386,18.27518892233881,17.56754254937793,0.0009354003317033251,0.0,0.43521799232500297,0.16698324835548797,0.021363264337802928,3,member_l2_mean,3,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_76f5451246,4,False,True,3,s01;;s02;;s03,cfg_00000_0bb7219ebf;;cfg_00016_c467e22f81;;cfg_00032_d8e379f06c,completed,True,0.006356088093586641,0.000626944989325554,0.005675313533243387,0.007188409849021708,18.344345886648323,17.720498336673092,0.0009868987059841554,0.0,0.3471975773572922,0.17112031466482827,0.021104305361708004,3,variance_mean,3,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_643b6f9987,5,False,False,3,s01;;s02;;s03,cfg_00008_62121bcacc;;cfg_00024_c6ff0bbf36;;cfg_00040_6919ab393e,completed,True,0.006441888049221543,0.0008991171269724131,0.00556647174936792,0.007678252657511795,30.503744432353415,29.661279555992223,0.0009331696977217993,0.0,0.49047412498233217,0.1818886100081727,0.035674439665550985,5,variance_mean,3,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_3399006674,6,False,False,3,s01;;s02;;s03,cfg_00002_e530604990;;cfg_00018_7a3e9bca9c;;cfg_00034_6cee8d1243,completed,True,0.0064871921773312115,0.0006871071197106513,0.005569182023304212,0.0072220909091523094,18.327081314637326,17.600511071349803,0.0009857516658181946,0.0,0.44210951200996834,0.17790835932828486,0.02096575133812924,3,variance_mean,5,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_ff643ad914,7,False,False,3,s01;;s02;;s03,cfg_00006_681bf90f9f;;cfg_00022_cdda98a33f;;cfg_00038_73a9db27da,completed,True,0.006517277644191248,0.0006739229496924685,0.005948007307173406,0.007463884621561385,18.351316699020874,17.551138212322257,0.0008962853268409768,0.0,0.521406952640973,0.17207723401952535,0.021936433700223763,3,member_l2_mean,5,0.6,0.4
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_96c955a87f,8,False,False,3,s01;;s02;;s03,cfg_00011_ea50953bd7;;cfg_00027_9b9477342b;;cfg_00043_5a9f7fe727,completed,True,0.006600320208174849,0.00028738057813266306,0.006287884816678167,0.006981636748071781,30.375329720050406,29.442525510676205,0.0009438719134777784,0.0,0.5764962863177061,0.1879267420154065,0.034431806299835443,5,variance_mean,5,0.8,0.2
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_36195b2014,9,False,False,3,s01;;s02;;s03,cfg_00013_14cb19e902;;cfg_00029_667607a748;;cfg_00045_49258d044a,completed,True,0.006627449044791529,0.0004326465093052674,0.006305213686034377,0.007239008488659185,30.2438902266634,29.273570137990948,0.0008423840239023169,0.0,0.6202265616739169,0.18255791203894964,0.03331325998685012,5,member_l2_mean,3,0.8,0.2
qbc_deep_ensemble_sm4_v1,1,qbc_deep_ensemble,SM4,default,stageA_policy,broad_policy_search,/Users/jonaswiendl/local/Repos/ml-surrogates-for-power-systems/results/hpo/qbc_deep_ensemble/stage1_policy_search/qbc_deep_ensemble_policy_search_20260302_165157,b1024,final_eval_rmse,minimize,grp_ab5e6df7cb,10,False,False,3,s01;;s02;;s03,cfg_00009_e09e4967f1;;cfg_00025_71d81f1490;;cfg_00041_26f3b8dd1f,completed,True,0.006926585368909683,0.0006131343878854765,0.006336046511823395,0.007771717107595068,30.167817233634803,29.324479372318212,0.0008349689887836576,0.0,0.4887969243573025,0.18193055231434604,0.03428090468514711,5,variance_mean,3,0.8,0.2
